STT,Mã Nhóm,Tên Nhóm Sản Phẩm,Tồn Đầu SL,Tồn Đầu VNĐ,Tổng Tiền Nhập VNĐ,Tổng Tiền Xuất HĐ VNĐ,Tổng Tiền Giá Vốn VNĐ,Tồn Cuối SL,Tồn Cuối VNĐ,Nhập T1 VNĐ,Xuất T1 VNĐ,Nhập T2 VNĐ,Xuất T2 VNĐ,Nhập T3 VNĐ,Xuất T3 VNĐ,Nhập T4 VNĐ,Xuất T4 VNĐ,Nhập T5 VNĐ,Xuất T5 VNĐ,Nhập T6 VNĐ,Xuất T6 VNĐ,Nhập T7 VNĐ,Xuất T7 VNĐ,Nhập T8 VNĐ,Xuất T8 VNĐ,Nhập T9 VNĐ,Xuất T9 VNĐ,Nhập T10 VNĐ,Xuất T10 VNĐ,Nhập T11 VNĐ,Xuất T11 VNĐ,Nhập T12 VNĐ,Xuất T12 VNĐ
1.0,CAM-WIFI-2M,Camera WiFi 2MP,291.0,118991374.0,77685089.72143486,86268175.0,132919690.9863309,205.0,63756772.73510394,19914290.22117221,5645710.735587256,16957509.14487212,1053652.333447391,0.0,37404657.83738238,2148947.973358435,0.0,7027640.669631639,21378350.12563742,0.0,534458.7531409354,3581579.955597391,2658986.414817904,4539894.592365342,10750514.68095827,3581579.955597391,0.0,4628773.918949948,5292754.508271186,9045467.000815652,7644122.54846119,6259406.289074737,40556483.04862697
2.0,HDD-1TB,HDD 1TB+,92.0,112945674.0,126521292.4483938,107881821.0,144887490.1415502,101.0,94579476.30684368,3326381.735820669,9261072.028683769,0.0,3087024.009561256,11153938.28070292,10954782.91870965,0.0,4694906.965161277,29735032.79513855,4759426.117907388,14528721.68164245,9420761.18670997,4347174.614927559,37870056.28797793,0.0,6311676.047996322,40528168.51908209,14331118.20619264,6885961.110544866,6345534.945094687,12108735.22515773,14257437.11800731,3907178.485377003,23593694.309548
3.0,INK-BRO-2385,Hộp mực Brother TN-2385,97.0,39350749.0,0.0,22369088.0,27816076.08169415,42.0,11534672.91830586,0.0,2022987.351395938,0.0,0.0,0.0,1517240.513546953,0.0,1011493.675697969,0.0,0.0,0.0,1517240.513546953,0.0,1517240.513546953,0.0,0.0,0.0,11632177.27052664,0.0,2528734.189244923,0.0,505746.8378489845,0.0,5563215.21633883
4.0,INK-CAN-12A,Hộp mực Canon 12A / 303,683.0,99426269.0,57141591.40564163,82904641.0,92573962.08883846,606.0,63993898.31680317,3115182.741801169,4544171.702730658,7391958.982715005,6330463.718557539,0.0,2713055.879381803,3959977.749884586,3049980.561625193,4223976.976406253,1432003.013227156,4223976.00841167,3215167.896592676,4223976.00841167,9982735.814003961,9635945.63218709,6204589.641597013,5807967.495563338,8634379.759963937,5411969.623775421,2108038.253453439,4223976.00841167,1228130.804726808,4922684.178073766,43131245.04297827
5.0,INK-CAN-35A,Hộp mực Canon 35A / 85A,60.0,17501407.0,26685858.57191904,8799998.0,7088702.572541503,148.0,37098562.99937754,8421552.868566839,1380191.748082146,923994.3888420843,0.0,0.0,444854.1095475255,1108794.234605084,1286826.983946994,2032788.623447168,809039.1628135405,923994.3888420843,0.0,1108793.266610501,385238.4525663679,2595985.29550278,362896.8775704597,1671990.906660696,350391.5608851168,2010789.010568557,340511.6322716982,5200770.629755921,1397007.021363872,686404.9585173271,331745.0234937831
6.0,INK-EPS-003,Mực nước Epson 003,20.0,606350.0,1293591.176384335,0.0,0.0,62.0,1899941.176384335,369596.7875422512,0.0,153999.2261394445,0.0,92398.95488691714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,677596.2078157227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,KB-OFF,Bàn phím Văn phòng,1965.0,278319279.0,54755757.15209886,164877341.0,234406915.0112176,932.0,98668121.14088127,3722379.607608586,6171344.416136706,3146963.218236788,3026486.73074434,3722379.607608586,10665121.78360298,1755588.854802669,4823601.291650862,7286359.485705256,66916078.92412214,675850.9124688524,2850900.488947344,0.0,16214496.53088802,5236507.194649556,20640231.81362301,3898378.446626641,40379861.14490847,0.0,29716323.00276186,25311349.82439194,10215049.89261463,0.0,22787418.99121725
8.0,LCD-DELL-19,Màn hình DELL 19 inch,47.0,116255869.0,186127157.4675766,61736362.0,121753798.4042981,75.0,180629228.0632785,17445118.99195131,6975010.096964863,0.0,3487505.048482431,46515629.75101481,24482474.08430129,9776155.775497485,17079409.64232341,19139892.61910793,18216308.07889502,4768368.417705812,15419109.47206146,8340135.81221945,6315177.301738932,37872096.89585396,29778804.67953072,22838193.3614745,0.0,1303623.472238339,0.0,7569589.860599314,0.0,10558352.50991372,0.0
9.0,LCD-DELL-22,Màn hình DELL 22 inch,348.0,435897925.0,540586779.147686,384790238.0,647515957.6214719,340.0,328968746.5262141,27116425.46624055,113462652.7200049,74927437.71470392,15450826.96496552,7317119.046872871,74955601.87275806,9019949.695623895,32572353.75634686,83832730.38800873,12689658.33912366,298239128.9611882,47115437.98278801,0.0,13960129.77267793,6350131.581328349,72958235.77097823,6723064.078202219,33003834.30327942,6030359.410941371,79811942.10025826,17173361.59077227,57492370.24559185,3857071.213803613,94042913.79269917
10.0,LCD-DELL-24,Màn hình DELL 24 inch,238.0,588392756.0,770176078.5199977,498940240.0,604522055.3148427,365.0,754046779.2051549,49249804.54822595,34787964.07665252,588716.881231117,5891358.072951676,234093359.1043832,76483103.61040494,59052266.5445,59443590.48203214,47041929.10356777,41890735.90757672,160494438.7066026,3106715.040046893,12677209.40367764,201055703.8470454,11536735.61036801,3073298.887627897,34438474.61458922,62847413.9501529,56383924.62194292,27476596.69206852,32647817.54966516,63897623.78210942,71971401.83124425,24567950.96617375
