Mã hàng,Tên hàng,ĐVT,Tồn đầu 01/01/2023,Tổng Nhập 2023,Tổng Xuất 2023,Tồn cuối 31/12/2023
,063940S_08___KHĂN LỤA,Cái,0,1,0,1
,064550CK_05___KHÓA LƯNG 5382 STRIATED,Cái,0,1,0,1
,073967CA_EG_085__DÂY LƯNG 32 MM,Cái,0,1,0,1
,1132639-NHÃN DÁN-BURBERRY-BRANDED STICKER 61.5MM X 46MM BBY707-(HÀNG KHUYẾN MÃI KHÔNG THU TIỀN),CAI,0,3,0,3
,1161946-ÁO SƠ MI TAY DÀI NAM-BURBERRY-M CASUAL SHIRT LS 8064881(RDA003086834),CAI,0,1,0,1
,1168742-ÁO SƠ MI TAY DÀI NAM-BURBERRY-M CASUAL SHIRT LS 8066622(RDA003094337),CAI,0,1,0,1
,231993ZA_ME_410__GIÀY NAM LOAFERS GUIDO,Đôi,0,1,0,1
,554052_1403_L__ÁO,Cái,0,1,0,1
,554052_4240_XL__ÁO,Cái,0,1,0,1
,81C-01245,,0,4,0,4
,81C-04800,,0,2,0,2
,81C-18927,,0,2,0,2
,ACUPAN,Ống,0,1,0,1
,AL ANLENE CONCENTRATE CHOCO 4X125ML,Lốc,0,0,60,-60
,AL ANLENE CONCENTRATE VANILLA 4X125ML,Lốc,0,0,1089,-1089
,AL ANLENE GOLD VANILLA MOVEPRO 1KG,Hộp,0,0,125,-125
,AL ANLENE GOLD VANILLA MOVEPRO 400G,Lon,0,0,283,-283
,AL ANLENE GOLD VANILLA MOVEPRO 440G,Hộp,0,0,204,-204
,AL ANLENE GOLD VANILLA MOVEPRO 800G,Lon,0,0,169,-169
,AL ANLENE MOVEPRO UHT 180ML - CÓ ĐƯỜNG,Lốc,0,0,778,-778
,AL ANLENE MOVEPRO UHT 180ML - KHÔNG BÉO,Lốc,0,0,102,-102
,AL ANLENE VANILLA MOVEPRO 440G,Hộp,0,0,289,-289
,AL ANLENE VANILLA MOVEPRO 800G,Lon,0,0,144,-144
,AL ANLENE VANILLA MOVEPRO SACHET 20GX3,Hộp,0,0,18,-18
,AL ANMUM CONCENTRATE CHOCO 4X125ML,Lốc,0,0,3,-3
,AL ANMUM CONCENTRATE VANILLA 4X125ML,Lốc,0,0,12,-12
,AL ANMUM MATERNA CHOCO 400G,Lon,0,0,84,-84
,AL ANMUM MATERNA CHOCO 800G,Lon,0,0,48,-48
,AL ANMUM MATERNA VANILLA 400G,Lon,0,0,72,-72
,ALGESIN - N,Ống,0,1,0,1
,ĂN UỐNG (NGÀY 10/10),bàn,0,1,0,1
,AO BLAZER,Cái/PCS,0,1,0,1
,AO KHOAC,Cái/PCS,0,1,0,1
,ÁO PHẪU THUẬT SMMMS SIZE L (GA-2- L),Cái,0,4,0,4
,AO SO-MI,Cái/PCS,0,1,0,1
,ÁO SƠ MI NAM NGẮN TAY PIE (ANPIE),Cái,0,1,0,1
,BA CHỈ BÒ,Phần,0,1,0,1
,BẠCH TUỘC MINI,Phần,0,1,0,1
,BĂNG KEO CÁ NHÂN 626-100V,Miếng,0,2,0,2
,BĂNG KEO LỤA Y TẾ 1538-1,Cuộn,0,2.1,0,2.1
,BẢNG TRẮNG 0.8*1.2M,Cái,0,1,0,1
,BÁNH BAO CHAY 300GR,Gói,0,1076,0,1076
,BÁNH BAO NHÂN THỊT 400GR,Gói,0,676,0,676
,BÁNH BAO NHÂN XÁ XÍU 280G,Gói,0,227,0,227
,BÁNH KEM XỐP PHÔ MAI - RICHEESE NABATI BITES CHEESE CREAM WAFER 300GR,Thùng,0,290,0,290
,BÁNH KEM XỐP PHÔ MAI RICHEESE NABATI CHEESE CREAM WAFER 110G,Thùng,0,20413,0,20413
,BÁNH KEM XỐP PHÔ MAI RICHEESE NABATI CHEESE CREAM WAFER 110G (HÀNG KHUYẾN MẠI KHÔNG THU TIỀN),Thùng,0,206,0,206
,BÁNH KEM XỐP PHÔ MAI-RICHEESE NABATI CHEESE CREAM WAFER 330G,Thùng,0,776,0,776
,BÁNH KEM XỐP PHÔ MAI – RICHEESE NABATI CHEESE CREAM WAFER 6G,Thùng,0,810,0,810
,BÁNH KEM XỐP PHÔ MAI – RICHEESE NABATI CHEESE CREAM WAFER 6G (HÀNG KHUYẾN MẠI KHÔNG THU TIỀN),Thùng,0,18,0,18
,BÁNH KEM XỐP PHÔ MAI RICHEESE NABATI CHEESE WAFER 15G,Thùng,0,4673,0,4673
,BÁNH KEM XỐP PHÔ MAI RICHEESE NABATI CHEESE WAFER 17G,Thùng,0,2419,346,2073
,BÁNH KEM XỐP PHÔ MAI RICHEESE NABATI CHEESE WAFER 17G (HÀNG KHUYẾN MẠI KHÔNG THU TIỀN),Thùng,0,468,0,468
,BÁNH KEM XỐP PHÔ MAI RICHEESE NABATI CHEESE WAFER 50G,Thùng,0,1978,7,1971
,BÁNH KEM XỐP PHÔ MAI RICHEESE NABATI CHEESE WAFER 50G (HÀNG KHUYẾN MẠI KHÔNG THU TIỀN),Thùng,0,59,0,59
,BÁNH KEM XỐP PHÔ MAI RICHEESE NABATI CHEESE WAFER 50GR,Gói,0,0,2,-2
,BÁNH KEM XỐP PHÔ MAI RICHEESE NABATI CHEESE WAFER 7.5G,Thùng,0,1747,15,1732
,BÁNH KEM XỐP PHỦ SÔ CÔ LA - NABATI RICHOCO TIME BREAK 48G,Thùng,0,280,0,280
,BÁNH KEM XỐP SỮA CHUA HƯƠNG PHÚC BỒN TỬ 16G,Thùng,0,43,193,-150
,BÁNH KEM XỐP SỮA CHUA HƯƠNG PHÚC BỒN TỬ 20G,Thùng,0,100,0,100
,BÁNH KEM XỐP SỮA CHUA HƯƠNG PHÚC BỒN TỬ- NABATI RICHBERRY 110G,Thùng,0,260,0,260
,BÁNH KEM XỐP SỮA CHUA HƯƠNG PHÚC BỒN TỬ - NABATI RICHBERRY - RASPBERRY FLAVOUR YOGHURT CREAM WAFER 50G,Thùng,0,75,88,-13
,BÁNH ỐNG LỚN NHÂN PHÔ MAI - NABATI CHEESE WAFER STICK- BIG ROLLS CHEESE 14G,Thùng,0,50,0,50
,BÁNH PHÔ MAI (DẠNG XỐP) RICHEESE AHH' TRIPLE CHEESE 15GR,Thùng,0,1021,0,1021
,BÁNH PHÔ MAI (DẠNG XỐP) RICHEESE NABATI CHEESE BLACK WAFER 50G,Thùng,0,0,1,-1
,BÁNH PHÔ MAI (DẠNG XỐP) RICHEESE NABATI CHEESE BLACK WAFER 50GR,Thùng,0,70,0,70
,BÁNH QUẾ NHÂN KEM – NABATI COOKIES AND CREAM LONG STICK 105G,Thùng,0,95,0,95
,BÁNH QUẾ NHÂN KEM - NABATI COOKIES AND CREAM LONG STICK 130G,Thùng,0,70,24,46
,BÁNH QUẾ NHÂN PHÔ MAI – NABATI RICHEESE LONG STICK 105G,Thùng,0,295,0,295
,BÁNH QUẾ NHÂN PHÔ MAI – NABATI RICHEESE LONG STICK 105G (HÀNG KHUYẾN MẠI KHÔNG THU TIỀN),Thùng,0,2,0,2
,BÁNH QUẾ NHÂN SÔ CÔ LA - NABATI RICHOCO BÁNH QUẾ 130G,Thùng,0,46,0,46
,BÁNH QUẾ NHÂN SÔ CÔ LA – NABATI RICHOCO LONG STICK 105G,Thùng,0,145,0,145
,BÁNH QUY GIÒN PHÔ MAI - NABATI RICHEESE CRACKERS - CHEESE CRACKERS 10G (24 PCS X 10G),Thùng,0,78,35,43
,BÁNH QUY GIÒN SÔ CÔ LA - NABATI RICHOCO CRACKERS - CHOCOLATE CRACKERS 10G (24 PCS X 10G,Thùng,0,0,10,-10
,BÁNH QUY GIÒN SÔ CÔ LA - NABATI RICHOCO CRACKERS - CHOCOLATE CRACKERS 10G (24 PCS X 10G),Thùng,0,60,46,14
,BÁNH QUY NHÂN KEM HƯƠNG VANI - NABATI COOKIES & CREAM 112G,Thùng,0,151,28,123
,BÁNH QUY NHÂN KEM HƯƠNG VANI – NABATI COOKIES & CREAM – SANDWICH COOKIES,Thùng,0,40,0,40
,BÁNH QUY NHÂN KEM HƯƠNG VANI - NABATI COOKIES & CREAM - SANDWICH COOKIES WITH VANILLA FLAVOUR CREAM 16G,Thùng,0,20,0,20
,BÁNH QUY NHÂN KEM SÔ CÔ LA - NABATI RICHOCO COOKIES 112G,Thùng,0,160,8,152
