MẶT HÀNG / VT,ĐVT,TỒN ĐẦU KỲ,Unnamed: 3,NHẬP TRONG KỲ,Unnamed: 5,XUẤT TRONG KỲ,Unnamed: 7,TỒN CUỐI KỲ,Unnamed: 9
,,SL,TIỀN,SL,TIỀN,SL,TIỀN,SL,TIỀN
0.001S-V,Lít,0,0,10727.17,216449145,0,0,10727.17,216449145
81C-01245,Cái,0,0,4,0,0,0,4,0
81C-04800,Cái,0,0,2,0,0,0,2,0
81C-18927,Cái,0,0,2,0,0,0,2,0
AL - SỮA ANLENE,CAI,0,0,11,1147135,3567,226669306,-3556,-370837460
BEL - PHÔ MAI,Thùng,0,0,53013,4867812679,223321,8664032922,-170308,-15638191419.74859
BIA TIGER,Lon,0,0,163,3707616,0,0,163,3707616
BÚT,Hộp,0,0,38,554882.4,0,0,38,554882.4
BỘT CANH,Gói,0,0,2250,7551000,0,0,2250,7551000
BỘT CANH NẤM BÀO NGƯ,Gói,0,0,16000,77895250,0,0,16000,77895250
BỘT CANH NẤM HƯƠNG,Gói,0,0,8300,33144600,0,0,8300,33144600
CHÈ BẠCH QUẢ HẠT SEN,Phần,0,0,2,132000,0,0,2,132000
CHẢ GIÒ ALNN,Hũ,0,0,132,7710120,0,0,132,7710120
CHẢ GIÒ CHAY GÓI,Kg,0,0,9,624880,0,0,9,624880
CHẢ GIÒ CON TÔM GÓI,Kg,0,0,2.75,341808,0,0,2.75,341808
CHẢ GIÒ THẬP CẨM,Gói,0,0,440,20795862,0,0,440,20795862
CHẢ GIÒ THỊT GÓI,Kg,0,0,9,736160,0,0,9,736160
CHẢ GIÒ TÔM CUA,Gói,0,0,225,11123649,0,0,225,11123649
CHẢ GIÒ TÔM CUA GÓI,Kg,0,0,11.5,979320,0,0,11.5,979320
CHẢ GIÒ TÔM THỊT R/GÓI,Gói,0,0,2404,105986896,0,0,2404,105986896
CHẢ GIÒ XỐP CHAY,Gói,0,0,601,22607383,0,0,601,22607383
CLM - GIA VỊ CHOLIMEX,Gói,0,0,720,37200000,2349836.1,22394068461,-2349116.1,-121370998500
