Ngày,Số HĐ,TK Nợ,TK Có,Giá trị,Diễn giải
2023-01-01,1197,156,331,1642909.0,Mua vào: FUEL - DẦU DO
2023-01-01,1197,1331,331,0.0,VAT mua vào HĐ 1197
2023-01-01,1203,156,331,1818182.0,Mua vào: FUEL - XĂNG
2023-01-01,1203,1331,331,0.0,VAT mua vào HĐ 1203
2023-01-02,27,156,331,152614080.0,Mua vào: BEL - PHÔ MAI
2023-01-02,27,1331,331,0.0,VAT mua vào HĐ 27
2023-01-02,27,156,331,43242300.0,Mua vào: VUÔNG BELCUBE SỮA 24C X15
2023-01-02,27,1331,331,0.0,VAT mua vào HĐ 27
2023-01-02,27,156,331,63653310.0,Mua vào: VUÔNG BELCUBE SỮA 15C X15
2023-01-02,27,1331,331,0.0,VAT mua vào HĐ 27
2023-01-02,27,156,331,7577775.0,Mua vào: VUÔNG BELCUBE NGỌT DÂU 15C
2023-01-02,27,1331,331,0.0,VAT mua vào HĐ 27
2023-01-02,2407,156,331,4027091.0,Mua vào: 0.001S-V
2023-01-02,2407,1331,331,0.0,VAT mua vào HĐ 2407
2023-01-02,30426,156,331,82225.0,Mua vào: PHÍ DỊCH NGÂN HÀNG
2023-01-02,30426,1331,331,8222.0,VAT mua vào HĐ 30426
2023-01-02,27,156,331,106660800.0,Mua vào: BEL - PHÔ MAI
2023-01-02,27,1331,331,0.0,VAT mua vào HĐ 27
2023-01-02,11,131,511,12100000.0,Bán ra: SN - YẾN SÀO/NƯỚC YẾN
2023-01-02,11,131,3331,0.0,VAT bán ra HĐ 11
2023-01-02,5,131,511,3780000.0,Bán ra: SN - YẾN SÀO/NƯỚC YẾN
2023-01-02,5,131,3331,0.0,VAT bán ra HĐ 5
2023-01-02,10,131,511,3290000.0,Bán ra: VS - XÚC XÍCH VISSAN
2023-01-02,10,131,3331,0.0,VAT bán ra HĐ 10
2023-01-02,10,131,511,6863430.0,Bán ra: VS - XÚC XÍCH VISSAN
2023-01-02,10,131,3331,0.0,VAT bán ra HĐ 10
2023-01-02,5,131,511,3412500.0,Bán ra: SN - YẾN SÀO/NƯỚC YẾN
2023-01-02,5,131,3331,0.0,VAT bán ra HĐ 5
2023-01-02,5,131,511,5220000.0,Bán ra: SN - YẾN SÀO/NƯỚC YẾN
2023-01-02,5,131,3331,0.0,VAT bán ra HĐ 5
2023-01-02,5,131,511,7260000.0,Bán ra: SN - YẾN SÀO/NƯỚC YẾN
2023-01-02,5,131,3331,0.0,VAT bán ra HĐ 5
2023-01-02,4,131,511,3290000.0,Bán ra: VS - XÚC XÍCH VISSAN
2023-01-02,4,131,3331,0.0,VAT bán ra HĐ 4
2023-01-02,4,131,511,304000.0,Bán ra: VS - XÚC XÍCH VISSAN
2023-01-02,4,131,3331,0.0,VAT bán ra HĐ 4
2023-01-02,4,131,511,3263868.0,Bán ra: BEL - PHÔ MAI
2023-01-02,4,131,3331,0.0,VAT bán ra HĐ 4
2023-01-02,4,131,511,65277.0,Bán ra: SERVICE - CHIẾT KHẤU
2023-01-02,4,131,3331,0.0,VAT bán ra HĐ 4
2023-01-02,13,131,511,2632000.0,Bán ra: VS - XÚC XÍCH VISSAN
2023-01-02,13,131,3331,0.0,VAT bán ra HĐ 13
2023-01-02,7,131,511,3290000.0,Bán ra: VS - XÚC XÍCH VISSAN
2023-01-02,7,131,3331,0.0,VAT bán ra HĐ 7
2023-01-02,8,131,511,12100000.0,Bán ra: SN - YẾN SÀO/NƯỚC YẾN
2023-01-02,8,131,3331,0.0,VAT bán ra HĐ 8
2023-01-02,8,131,511,6825000.0,Bán ra: SN - YẾN SÀO/NƯỚC YẾN
2023-01-02,8,131,3331,0.0,VAT bán ra HĐ 8
2023-01-02,13,131,511,43518.0,Bán ra: SERVICE - CHIẾT KHẤU
2023-01-02,13,131,3331,0.0,VAT bán ra HĐ 13
2023-01-02,7,131,511,5439780.0,Bán ra: BEL - PHÔ MAI
2023-01-02,7,131,3331,0.0,VAT bán ra HĐ 7
2023-01-02,7,131,511,108796.0,Bán ra: SERVICE - CHIẾT KHẤU
2023-01-02,7,131,3331,0.0,VAT bán ra HĐ 7
2023-01-02,11,131,511,1974000.0,Bán ra: VS - XÚC XÍCH VISSAN
2023-01-02,11,131,3331,0.0,VAT bán ra HĐ 11
2023-01-02,12,131,511,10440000.0,Bán ra: SN - YẾN SÀO/NƯỚC YẾN
2023-01-02,12,131,3331,0.0,VAT bán ra HĐ 12
2023-01-02,12,131,511,5670000.0,Bán ra: SN - YẾN SÀO/NƯỚC YẾN
2023-01-02,12,131,3331,0.0,VAT bán ra HĐ 12
2023-01-02,12,131,511,4060000.0,Bán ra: SN - YẾN SÀO/NƯỚC YẾN
2023-01-02,12,131,3331,0.0,VAT bán ra HĐ 12
2023-01-02,12,131,511,2420400.0,Bán ra: SERVICE - CHIẾT KHẤU
2023-01-02,12,131,3331,0.0,VAT bán ra HĐ 12
2023-01-02,13,131,511,6525000.0,Bán ra: SN - YẾN SÀO/NƯỚC YẾN
2023-01-02,13,131,3331,0.0,VAT bán ra HĐ 13
2023-01-02,13,131,511,783000.0,Bán ra: SERVICE - CHIẾT KHẤU
2023-01-02,13,131,3331,0.0,VAT bán ra HĐ 13
2023-01-02,13,131,511,2175912.0,Bán ra: BEL - PHÔ MAI
2023-01-02,13,131,3331,0.0,VAT bán ra HĐ 13
2023-01-02,2,131,511,14520000.0,Bán ra: SN - YẾN SÀO/NƯỚC YẾN
2023-01-02,2,131,3331,0.0,VAT bán ra HĐ 2
2023-01-02,2,131,511,5000000.0,Bán ra: SN - YẾN SÀO/NƯỚC YẾN
2023-01-02,2,131,3331,0.0,VAT bán ra HĐ 2
2023-01-02,2,131,511,2342400.0,Bán ra: SERVICE - CHIẾT KHẤU
2023-01-02,2,131,3331,0.0,VAT bán ra HĐ 2
2023-01-02,3,131,511,7260000.0,Bán ra: SN - YẾN SÀO/NƯỚC YẾN
2023-01-02,3,131,3331,0.0,VAT bán ra HĐ 3
2023-01-02,3,131,511,871200.0,Bán ra: SERVICE - CHIẾT KHẤU
2023-01-02,3,131,3331,0.0,VAT bán ra HĐ 3
2023-01-02,3,131,511,6863430.0,Bán ra: VS - XÚC XÍCH VISSAN
2023-01-02,3,131,3331,0.0,VAT bán ra HĐ 3
2023-01-02,3,131,511,3290000.0,Bán ra: VS - XÚC XÍCH VISSAN
2023-01-02,3,131,3331,0.0,VAT bán ra HĐ 3
2023-01-02,3,131,511,1011000.0,Bán ra: VS - XÚC XÍCH VISSAN
2023-01-02,3,131,3331,0.0,VAT bán ra HĐ 3
2023-01-02,4,131,511,12100000.0,Bán ra: SN - YẾN SÀO/NƯỚC YẾN
2023-01-02,4,131,3331,0.0,VAT bán ra HĐ 4
2023-01-02,4,131,511,1452000.0,Bán ra: SERVICE - CHIẾT KHẤU
2023-01-02,4,131,3331,0.0,VAT bán ra HĐ 4
2023-01-02,5,131,511,2360700.0,Bán ra: SERVICE - CHIẾT KHẤU
2023-01-02,5,131,3331,0.0,VAT bán ra HĐ 5
2023-01-02,5,131,511,340000.0,Bán ra: VS - XÚC XÍCH VISSAN
2023-01-02,5,131,3331,0.0,VAT bán ra HĐ 5
2023-01-02,6,131,511,6825000.0,Bán ra: SN - YẾN SÀO/NƯỚC YẾN
2023-01-02,6,131,3331,0.0,VAT bán ra HĐ 6
2023-01-02,6,131,511,3780000.0,Bán ra: SN - YẾN SÀO/NƯỚC YẾN
2023-01-02,6,131,3331,0.0,VAT bán ra HĐ 6
2023-01-02,6,131,511,7260000.0,Bán ra: SN - YẾN SÀO/NƯỚC YẾN
2023-01-02,6,131,3331,0.0,VAT bán ra HĐ 6
2023-01-02,6,131,511,2143800.0,Bán ra: SERVICE - CHIẾT KHẤU
2023-01-02,6,131,3331,0.0,VAT bán ra HĐ 6
2023-01-02,6,131,511,1715000.0,Bán ra: VS - XÚC XÍCH VISSAN
2023-01-02,6,131,3331,0.0,VAT bán ra HĐ 6
2023-01-02,6,131,511,430000.0,Bán ra: VS - XÚC XÍCH VISSAN
2023-01-02,6,131,3331,0.0,VAT bán ra HĐ 6
2023-01-02,7,131,511,3412500.0,Bán ra: SN - YẾN SÀO/NƯỚC YẾN
2023-01-02,7,131,3331,0.0,VAT bán ra HĐ 7
2023-01-02,1,131,511,12100000.0,Bán ra: SN - YẾN SÀO/NƯỚC YẾN
2023-01-02,1,131,3331,0.0,VAT bán ra HĐ 1
2023-01-02,7,131,511,7260000.0,Bán ra: SN - YẾN SÀO/NƯỚC YẾN
2023-01-02,7,131,3331,0.0,VAT bán ra HĐ 7
2023-01-02,9,131,511,726000.0,Bán ra: SERVICE - CHIẾT KHẤU
2023-01-02,9,131,3331,0.0,VAT bán ra HĐ 9
2023-01-02,9,131,511,2550000.0,Bán ra: BEL - PHÔ MAI
2023-01-02,9,131,3331,0.0,VAT bán ra HĐ 9
2023-01-02,9,131,511,51000.0,Bán ra: SERVICE - CHIẾT KHẤU
2023-01-02,9,131,3331,0.0,VAT bán ra HĐ 9
2023-01-02,9,131,511,3290000.0,Bán ra: VS - XÚC XÍCH VISSAN
2023-01-02,9,131,3331,0.0,VAT bán ra HĐ 9
2023-01-02,9,131,511,6545000.0,Bán ra: VS - XÚC XÍCH VISSAN
2023-01-02,9,131,3331,0.0,VAT bán ra HĐ 9
2023-01-02,1,131,511,1305000.0,Bán ra: SN - YẾN SÀO/NƯỚC YẾN
2023-01-02,1,131,3331,0.0,VAT bán ra HĐ 1
2023-01-02,1,131,511,2395800.0,Bán ra: SERVICE - CHIẾT KHẤU
2023-01-02,1,131,3331,0.0,VAT bán ra HĐ 1
2023-01-02,10,131,511,1890000.0,Bán ra: SN - YẾN SÀO/NƯỚC YẾN
2023-01-02,10,131,3331,0.0,VAT bán ra HĐ 10
2023-01-02,10,131,511,226800.0,Bán ra: SERVICE - CHIẾT KHẤU
2023-01-02,10,131,3331,0.0,VAT bán ra HĐ 10
2023-01-02,10,131,511,5439780.0,Bán ra: BEL - PHÔ MAI
2023-01-02,10,131,3331,0.0,VAT bán ra HĐ 10
2023-01-02,10,131,511,108796.0,Bán ra: SERVICE - CHIẾT KHẤU
2023-01-02,10,131,3331,0.0,VAT bán ra HĐ 10
2023-01-02,10,131,511,686000.0,Bán ra: VS - XÚC XÍCH VISSAN
2023-01-02,10,131,3331,0.0,VAT bán ra HĐ 10
2023-01-02,11,131,511,1861500.0,Bán ra: SERVICE - CHIẾT KHẤU
2023-01-02,11,131,3331,0.0,VAT bán ra HĐ 11
2023-01-02,11,131,511,3412500.0,Bán ra: SN - YẾN SÀO/NƯỚC YẾN
2023-01-02,11,131,3331,0.0,VAT bán ra HĐ 11
2023-01-02,1,131,511,4060000.0,Bán ra: SN - YẾN SÀO/NƯỚC YẾN
2023-01-02,1,131,3331,0.0,VAT bán ra HĐ 1
2023-01-02,11,131,511,2175912.0,Bán ra: BEL - PHÔ MAI
2023-01-02,11,131,3331,0.0,VAT bán ra HĐ 11
2023-01-02,11,131,511,43518.0,Bán ra: SERVICE - CHIẾT KHẤU
2023-01-02,11,131,3331,0.0,VAT bán ra HĐ 11
2023-01-02,8,131,511,2271000.0,Bán ra: SERVICE - CHIẾT KHẤU
2023-01-02,8,131,3331,0.0,VAT bán ra HĐ 8
2023-01-02,8,131,511,1316000.0,Bán ra: VS - XÚC XÍCH VISSAN
2023-01-02,8,131,3331,0.0,VAT bán ra HĐ 8
2023-01-02,1,131,511,2500000.0,Bán ra: SN - YẾN SÀO/NƯỚC YẾN
2023-01-02,1,131,3331,0.0,VAT bán ra HĐ 1
2023-01-02,13,131,511,544000.0,Bán ra: VS - XÚC XÍCH VISSAN
2023-01-02,13,131,3331,0.0,VAT bán ra HĐ 13
2023-01-02,9,131,511,6050000.0,Bán ra: SN - YẾN SÀO/NƯỚC YẾN
2023-01-02,9,131,3331,0.0,VAT bán ra HĐ 9
2023-01-02,7,131,511,1280700.0,Bán ra: SERVICE - CHIẾT KHẤU
2023-01-02,7,131,3331,0.0,VAT bán ra HĐ 7
2023-01-02,13,131,511,6863430.0,Bán ra: VS - XÚC XÍCH VISSAN
2023-01-02,13,131,3331,0.0,VAT bán ra HĐ 13
2023-01-03,34,131,511,1974000.0,Bán ra: VS - XÚC XÍCH VISSAN
2023-01-03,34,131,3331,0.0,VAT bán ra HĐ 34
2023-01-03,21,131,511,1729632.0,Bán ra: BEL - PHÔ MAI
2023-01-03,21,131,3331,0.0,VAT bán ra HĐ 21
2023-01-03,21,131,511,1020000.0,Bán ra: BEL - PHÔ MAI
2023-01-03,21,131,3331,0.0,VAT bán ra HĐ 21
2023-01-03,21,131,511,54993.0,Bán ra: SERVICE - CHIẾT KHẤU
2023-01-03,21,131,3331,0.0,VAT bán ra HĐ 21
2023-01-03,20,131,511,1472000.0,Bán ra: VS - XÚC XÍCH VISSAN
2023-01-03,20,131,3331,0.0,VAT bán ra HĐ 20
2023-01-03,31,131,511,10150000.0,Bán ra: SN - YẾN SÀO/NƯỚC YẾN
2023-01-03,31,131,3331,0.0,VAT bán ra HĐ 31
2023-01-03,22,131,511,1161600.0,Bán ra: SERVICE - CHIẾT KHẤU
2023-01-03,22,131,3331,0.0,VAT bán ra HĐ 22
2023-01-03,22,131,511,2175912.0,Bán ra: BEL - PHÔ MAI
2023-01-03,22,131,3331,0.0,VAT bán ra HĐ 22
2023-01-03,22,131,511,43518.0,Bán ra: SERVICE - CHIẾT KHẤU
2023-01-03,22,131,3331,0.0,VAT bán ra HĐ 22
2023-01-03,22,131,511,343000.0,Bán ra: VS - XÚC XÍCH VISSAN
2023-01-03,22,131,3331,0.0,VAT bán ra HĐ 22
2023-01-03,22,131,511,6863430.0,Bán ra: VS - XÚC XÍCH VISSAN
2023-01-03,22,131,3331,0.0,VAT bán ra HĐ 22
2023-01-03,30,131,511,237500.0,Bán ra: VS - XÚC XÍCH VISSAN
2023-01-03,30,131,3331,0.0,VAT bán ra HĐ 30
2023-01-03,23,131,511,10440000.0,Bán ra: SN - YẾN SÀO/NƯỚC YẾN
2023-01-03,23,131,3331,0.0,VAT bán ra HĐ 23
2023-01-03,23,131,511,1890000.0,Bán ra: SN - YẾN SÀO/NƯỚC YẾN
2023-01-03,23,131,3331,0.0,VAT bán ra HĐ 23
2023-01-03,30,131,511,2417400.0,Bán ra: SERVICE - CHIẾT KHẤU
2023-01-03,30,131,3331,0.0,VAT bán ra HĐ 30
2023-01-03,14,131,511,7260000.0,Bán ra: SN - YẾN SÀO/NƯỚC YẾN
2023-01-03,14,131,3331,0.0,VAT bán ra HĐ 14
2023-01-03,21,131,511,7260000.0,Bán ra: SN - YẾN SÀO/NƯỚC YẾN
2023-01-03,21,131,3331,0.0,VAT bán ra HĐ 21
2023-01-03,23,131,511,1479600.0,Bán ra: SERVICE - CHIẾT KHẤU
2023-01-03,23,131,3331,0.0,VAT bán ra HĐ 23
2023-01-03,23,131,511,3680000.0,Bán ra: VS - XÚC XÍCH VISSAN
2023-01-03,23,131,3331,0.0,VAT bán ra HĐ 23
2023-01-03,23,131,511,170000.0,Bán ra: VS - XÚC XÍCH VISSAN
