Ngày,ItemCode,Tên hàng cleaned,Bán ra,Mua vào
2023-01-01,HHP-00001,DO 0.05S-II,0.0,80.0
2023-01-01,HHP-00002,XĂNG RON95-III,0.0,89.97
2023-01-02,HHP-00003,PHÔ MAI CBC 16M 224GX32 TOTEM 3.0 VN,0.0,90.0
2023-01-02,HHP-00004,PM VUÔNG BELCUBE VỊ SỮA 24C 125GX15,0.0,60.0
2023-01-02,HHP-00005,PM VUÔNG BELCUBE VỊ SỮA 15C 78GX15,0.0,126.0
2023-01-02,HHP-00006,PM VUÔNG BELCUBE NGỌT VỊ DÂU 78G X 15C,0.0,15.0
2023-01-02,HHP-00007,DO 0.001S-V,0.0,180.0
2023-01-02,HHP-00008,PHÍ DỊCH VỤ NGÂN HÀNG,0.0,1.0
2023-01-02,HHP-00009,PHÔ MAI CBC 8M 112GX36 TOTEM 3.0 VN,0.0,100.0
2023-01-02,HHP-00010,SN NƯỚC YẾN SANNEST LON T (30LON/THÙNG),405.0,0.0
2023-01-02,HHP-00011,SN NƯỚC YẾN SÀO SANNEST TRẺ EM,480.0,0.0
2023-01-02,HHP-00012,VS XXTT BÒ 70 - CÂY 70G,238.0,0.0
2023-01-02,HHP-00013,VS XXTT BOOM BOOM 23G,345.0,0.0
2023-01-02,HHP-00014,SN NƯỚC YẾN SANNEST LỌ T,735.0,0.0
2023-01-02,HHP-00015,SN NƯỚC YẾN SANNEST LON T,2700.0,0.0
2023-01-02,HHP-00016,VS ĐL CÁ VIÊN GÓI 200G,20.0,0.0
2023-01-02,HHP-00017,BEL PHÔ MAI CBC 8M,612.0,0.0
2023-01-02,HHP-00018,CHIẾT KHẤU 2%,6.0,0.0
2023-01-02,HHP-00019,SN NƯỚC YẾN SANNEST HỘP 6 LỌ T,40.0,0.0
2023-01-02,HHP-00020,CHIẾT KHẤU 7% +(5% CHIẾT KHẤU NHÂN DỊP THÀNH LẬP CTY),13.0,0.0
2023-01-02,HHP-00021,SN NƯỚC YẾN SANNEST HỘP 6 LON T,150.0,0.0
2023-01-02,HHP-00022,VS ĐL BÒ VIÊN 3 NGON GÓI 500G,30.0,0.0
2023-01-02,HHP-00023,VS ĐL TÔM VIÊN FUNNY GÓI 250G ( ĐL),20.0,0.0
2023-01-02,HHP-00024,VS XXTT TRỘN ĐỀU XỐT TAMARIND 62G,7.0,0.0
2023-01-02,HHP-00025,VS ĐL CÁ VIÊN ỚT XIÊM XANH GÓI 500G,20.0,0.0
2023-01-02,HHP-00026,BEL PM VUÔNG BELCUBE VỊ NGỌT DÂU 78G,75.0,0.0
2023-01-02,HHP-00027,VS XXTT DINH DƯỠNG BÒ 175G (DHA BÒ 35G),70.0,0.0
2023-01-02,HHP-00028,VS ĐL CÁ VIÊN FUNNY GÓI 500G (1T=30G),20.0,0.0
2023-01-03,HHP-00007,DO 0.001S-V,0.0,120.0
2023-01-03,HHP-00008,PHÍ DỊCH VỤ NGÂN HÀNG,0.0,1.0
2023-01-03,HHP-00010,SN NƯỚC YẾN SANNEST LON T (30LON/THÙNG),685.0,0.0
2023-01-03,HHP-00011,SN NƯỚC YẾN SÀO SANNEST TRẺ EM,1140.0,0.0
2023-01-03,HHP-00012,VS XXTT BÒ 70 - CÂY 70G,301.0,0.0
2023-01-03,HHP-00013,VS XXTT BOOM BOOM 23G,1035.0,0.0
2023-01-03,HHP-00015,SN NƯỚC YẾN SANNEST LON T,2100.0,0.0
2023-01-03,HHP-00016,VS ĐL CÁ VIÊN GÓI 200G,30.0,0.0
2023-01-03,HHP-00017,BEL PHÔ MAI CBC 8M,720.0,0.0
2023-01-03,HHP-00018,CHIẾT KHẤU 2%,12.0,0.0
2023-01-03,HHP-00019,SN NƯỚC YẾN SANNEST HỘP 6 LỌ T,95.0,0.0
2023-01-03,HHP-00020,CHIẾT KHẤU 7% +(5% CHIẾT KHẤU NHÂN DỊP THÀNH LẬP CTY),21.0,0.0
2023-01-03,HHP-00021,SN NƯỚC YẾN SANNEST HỘP 6 LON T,100.0,0.0
2023-01-03,HHP-00023,VS ĐL TÔM VIÊN FUNNY GÓI 250G ( ĐL),10.0,0.0
2023-01-03,HHP-00024,VS XXTT TRỘN ĐỀU XỐT TAMARIND 62G,8.0,0.0
2023-01-03,HHP-00026,BEL PM VUÔNG BELCUBE VỊ NGỌT DÂU 78G,15.0,0.0
2023-01-03,HHP-00028,VS ĐL CÁ VIÊN FUNNY GÓI 500G (1T=30G),20.0,0.0
2023-01-03,HHP-00029,BEL PHÔ MAI CBC 16M,160.0,0.0
2023-01-03,HHP-00030,BEL PHO MAI CUBE VỊ SỮA 78G,105.0,0.0
2023-01-03,HHP-00031,VS LẠP XƯỞNG MQL GÓI 200G,30.0,0.0
2023-01-03,HHP-00032,VS ĐL NEM LỤI- HỘP 300G,5.0,0.0
2023-01-03,HHP-00033,NBT BÁNH KXPM RICHEESE NABATI CHEESE CREAM WAFER 110G TẾT,120.0,0.0
2023-01-03,HHP-00034,VS ĐL CÁ VIÊN 3 NGON GÓI 500G,10.0,0.0
2023-01-03,HHP-00035,NBT CHIẾT KHẤU TÍCH LŨY 4% IPT VÀ SO THEO DOANH SỐ,6.0,0.0
2023-01-03,HHP-00036,VS ĐL XÚC XÍCH HAPPY GÓI 500G,10.0,0.0
2023-01-03,HHP-00037,NBT BÁNH KXPM RICHOCO NABATI CHOCOLATE WAFER 17G,10.0,0.0
2023-01-03,HHP-00038,"VS XXTT BOOM BOOM 23G( HŨ 1,15 KG)",24.0,0.0
2023-01-03,HHP-00039,AL ANLENE CONCENTRATE VANILLA 4X125ML,50.0,0.0
2023-01-03,HHP-00040,SN NƯỚC SANNA 500ML,20.0,0.0
2023-01-03,HHP-00041,CHIẾT KHẤU 9%,1.0,0.0
2023-01-03,HHP-00042,NƯỚC YẾN SANEST THÙNG 30 LON K X 190ML,0.0,80.0
2023-01-03,HHP-00043,NƯỚC YẾN SANEST HỘP 6 LON T X 190ML,0.0,11300.0
2023-01-03,HHP-00044,NƯỚC YẾN SANEST THÙNG 30 LON T X 190ML,0.0,3400.0
2023-01-03,HHP-00045,NƯỚC YẾN SÀO SANEST TRẺ EM,0.0,15000.0
2023-01-03,HHP-00046,NƯỚC YẾN SANEST HỘP 6 LỌ K X 70ML,0.0,150.0
2023-01-03,HHP-00047,NƯỚC YẾN SANEST HỘP 6 LỌ T X 70ML,0.0,3500.0
2023-01-03,HHP-00048,NƯỚC YẾN SANEST LỌ T X 70ML,0.0,25200.0
2023-01-03,HHP-00049,NƯỚC YẾN SANEST HỘP 6 LON T X 190ML (QT),0.0,500.0
2023-01-03,HHP-00050,NƯỚC YẾN SANEST HỘP 6 LỌ NHÂN SÂM X 70ML,0.0,50.0
2023-01-03,HHP-00051,"TƯƠNG CÀ CHAI PET 2 ,1KG",0.0,900.0
2023-01-03,HHP-00052,XXTT BOOM BOOM 23G GÓI,0.0,3450.0
2023-01-03,HHP-00053,NƯỚC YẾN SÀO SANEST TRẺ EM LON X 190ML,0.0,1200.0
2023-01-03,HHP-00054,NƯỚC YẾN SANEST LON T X 190ML,0.0,60000.0
2023-01-03,HHP-00055,NƯỚC YẾN SÀO SANEST TRẺ EM HỘP 6 LỌ,0.0,50.0
2023-01-03,HHP-00056,NƯỚC YẾN SANEST LỌ K X 70ML,0.0,5250.0
2023-01-03,HHP-00057,CHIẾT KHẤU HÀNG BÁN,0.0,2.0
2023-01-03,HHP-00058,DẦU HÀO CHAY PET 350G,0.0,240.0
2023-01-03,HHP-00059,NƯỚC MẮM CAO ĐẠM 150ML,0.0,120.0
2023-01-03,HHP-00060,XỐT CÀ CHUA KETCHUP TT330G,0.0,72.0
2023-01-03,HHP-00061,TƯƠNG ỚT TỰ NHIÊN 330G,0.0,72.0
2023-01-03,HHP-00062,"TƯƠNG CHUA NGỌT PET 2,1 KG",0.0,60.0
2023-01-03,HHP-00063,"TƯƠNG XÍ MUỘI PET 2,1 KG",0.0,30.0
2023-01-03,HHP-00064,XỐT BÚN BÒ GÓI 90G,0.0,600.0
2023-01-03,HHP-00065,XỐT BÒ KHO GÓI 90G,0.0,2400.0
2023-01-03,HHP-00066,XỐT ƯỚP THỊT NƯỚNG 600G,0.0,240.0
2023-01-03,HHP-00067,TƯƠNG ĐEN PHỞ 520G,0.0,120.0
2023-01-03,HHP-00068,TƯƠNG HỘT 250G,0.0,72.0
2023-01-03,HHP-00069,SATE TÔM 450G,0.0,4320.0
2023-01-03,HHP-00070,NƯỚC TƯƠNG THANH VỊ 500ML,0.0,3768.0
2023-01-03,HHP-00071,TƯƠNG ĐEN PHỞ 230G,0.0,7200.0
2023-01-03,HHP-00072,SATẾ CHAY PET 90 GR,0.0,360.0
2023-01-03,HHP-00073,SATE TÔM PET 90G,0.0,12240.0
2023-01-03,HHP-00074,GIA VỊ KHO CÁ 50G,0.0,600.0
2023-01-03,HHP-00075,GIA VỊ KHO THỊT 50G,0.0,1200.0
2023-01-03,HHP-00076,XỐT ƯỚP XÁ XÍU TT 200G,0.0,360.0
2023-01-03,HHP-00077,XỐT ƯỚP XÁ XÍU 70G,0.0,1200.0
2023-01-03,HHP-00078,XỐT ƯỚP THỊT NƯỚNG 200G,0.0,3600.0
2023-01-03,HHP-00079,XỐT ƯỚP THỊT NƯỚNG GÓI 70G,0.0,14400.0
2023-01-03,HHP-00080,LẨU CHUA HẢI SẢN TT200G,0.0,2160.0
2023-01-03,HHP-00081,XỐT RANG ME PET 280G,0.0,2400.0
2023-01-03,HHP-00082,DẦU DẤM TRỘN SALAD PET 270 G,0.0,4320.0
2023-01-03,HHP-00083,LẨU THÁI 280G,0.0,3600.0
2023-01-03,HHP-00084,ỚT SATE HỦ TT 150G,0.0,360.0
2023-01-03,HHP-00085,ỚT KHÔ SATE HỦ THỦY TINH 100G,0.0,108.0
2023-01-03,HHP-00086,"TƯƠNG ỚT PET 2,1 KG",0.0,900.0
2023-01-03,HHP-00087,TƯƠNG ỚT 5KG,0.0,15.0
2023-01-03,HHP-00088,TƯƠNG ỚT PET 830 G,0.0,360.0
2023-01-03,HHP-00089,TƯƠNG ỚT PET 270 G,0.0,2400.0
2023-01-03,HHP-00090,TƯƠNG ỚT GÓI 10G,0.0,8000.0
2023-01-03,HHP-00091,TƯƠNG CÀ CHAI PET 270 G,0.0,2400.0
2023-01-03,HHP-00092,BÁNH BAO CHAY 300GR,0.0,15.0
2023-01-03,HHP-00093,BÁNH BAO NHÂN THỊT 400GR,0.0,28.0
2023-01-03,HHP-00094,CHẢ GIÒ RẾ TÔM CUA 500GR,0.0,1.0
2023-01-03,HHP-00095,CHẢ GIÒ RẾ THẬP CẨM 500GR,0.0,6.0
2023-01-03,HHP-00096,CHẢ GIÒ TÔM THỊT 500GR/GÓI,0.0,100.0
2023-01-03,HHP-00097,( SỐ TIỀN PHẢI THU: 2.268.322 ),0.0,1.0
2023-01-03,HHP-00098,( CHIẾT KHẤU THANH TOÁN: 20.810 ),0.0,1.0
2023-01-03,HHP-00099,TỔNG CỘNG: CBĐL: 28.000 KG 1.2 T,0.0,1.0
2023-01-03,HHP-00100,DỒI SỤN GIÒN GÓI_250G,0.0,1.0
2023-01-03,HHP-00101,BÒ VIÊN 3 NGON_GÓI 500G,0.0,10.0
2023-01-03,HHP-00102,CÁ VIÊN GÓI 200G ĐL,0.0,12.0
2023-01-03,HHP-00103,CHẢ GIÒ RẾ THỊT GÓI 500G,0.0,2.5
2023-01-03,HHP-00104,CHẢ GIÒ CHAY GÓI 500G,0.0,2.5
2023-01-03,HHP-00105,( SỐ TIỀN PHẢI THU: 8.380.716 ),0.0,1.0
2023-01-03,HHP-00106,( CHIẾT KHẤU THANH TOÁN: 76.887 ),0.0,1.0
2023-01-03,HHP-00107,TỔNG CỘNG: XXT: 105.000 KG,0.0,1.0
2023-01-03,HHP-00108,XX FUNNY GÓI 500G,0.0,90.0
2023-01-03,HHP-00109,XX HAPPY GÓI 500G,0.0,15.0
2023-01-03,HHP-00110,( SỐ TIỀN PHẢI THU: 3.296.687 ),0.0,1.0
2023-01-03,HHP-00111,( CHIẾT KHẤU THANH TOÁN: 30.245 ),0.0,1.0
2023-01-03,HHP-00112,TỔNG CỘNG: XXTT: 32.000 KG 2.0 T,0.0,1.0
2023-01-03,HHP-00113,XXTT HEO-BÒ HỘP NHỰA 1KG,0.0,32.0
2023-01-03,HHP-00114,( CHIẾT KHẤU THANH TOÁN: 4.231.675 ),0.0,1.0
2023-01-03,HHP-00115,"TỔNG CỘNG: CBK: 6.000 KG 2.0 T, ĐH: 576.000 KG 50.0 T, XXTT: 5 082.520 KG 2 036.0 T",0.0,1.0
2023-01-03,HHP-00116,CHẢ GIÒ ALNN HŨ 250G,0.0,24.0
2023-01-03,HHP-00117,PA TÊ GAN HEO_HỘP 170G,0.0,1800.0
2023-01-03,HHP-00118,BÒ HẦM 150G,0.0,1800.0
2023-01-03,HHP-00119,XXTT BOOM BOOM 20G_GÓI 100G,0.0,600.0
2023-01-03,HHP-00120,XXTT TRỘN ĐỀU XỐT TAMARIND_62G,0.0,480.0
2023-01-03,HHP-00121,XXTT LẮC KÊU VỊ PHÔ MAI_56G,0.0,960.0
2023-01-03,HHP-00122,XXTT BOOM BOOM 20G_HŨ 1 KG,0.0,160.0
2023-01-03,HHP-00123,"XXTT BOOM BOOM 23G (HŨ 1,15KG)",0.0,160.0
2023-01-03,HHP-00124,XXTT DINH DƯỠNG BÒ GÓI 175G,0.0,350.0
2023-01-03,HHP-00125,XXTT DINH DƯỠNG HEO GÓI 175G,0.0,105.0
2023-01-03,HHP-00126,XXTT HEO 70G (GÓI),0.0,42.0
2023-01-03,HHP-00127,( SỐ TIỀN PHẢI THU: 461.252.541 ),0.0,1.0
2023-01-03,HHP-00128,NƯỚC YẾN SANEST LON K X 190ML,0.0,900.0
2023-01-03,HHP-00129,NƯỚC YẾN SANEST LỌ NHÂN SÂM X 70ML,0.0,525.0
2023-01-03,HHP-00130,XXTT BÒ 18G GÓI (T-3.6KG),0.0,108.0
2023-01-03,HHP-00131,NƯỚC YẾN SANEST HỘP 6 LON K X 190ML,0.0,100.0
2023-01-04,HHP-00001,DO 0.05S-II,0.0,100.0
2023-01-04,HHP-00008,PHÍ DỊCH VỤ NGÂN HÀNG,0.0,1.0
2023-01-04,HHP-00010,SN NƯỚC YẾN SANNEST LON T (30LON/THÙNG),745.0,0.0
2023-01-04,HHP-00011,SN NƯỚC YẾN SÀO SANNEST TRẺ EM,1020.0,0.0
2023-01-04,HHP-00012,VS XXTT BÒ 70 - CÂY 70G,203.0,0.0
2023-01-04,HHP-00013,VS XXTT BOOM BOOM 23G,690.0,0.0
