Ngày,GroupCode,Grouped Name,Bán ra,Mua vào
2023-01,GRP-000,0.001S-V,0.0,1709.17
2023-01,GRP-002,81C-04800,0.0,1.0
2023-01,GRP-004,AL - SỮA ANLENE,94.0,0.0
2023-01,GRP-005,BEL - PHÔ MAI,14964.0,5320.0
2023-01,GRP-009,BỘT CANH NẤM BÀO NGƯ,0.0,1250.0
2023-01,GRP-010,BỘT CANH NẤM HƯƠNG,0.0,500.0
2023-01,GRP-012,CHẢ GIÒ ALNN,0.0,24.0
2023-01,GRP-013,CHẢ GIÒ CHAY GÓI,0.0,4.0
2023-01,GRP-015,CHẢ GIÒ THẬP CẨM,0.0,6.0
2023-01,GRP-016,CHẢ GIÒ THỊT GÓI,0.0,4.0
2023-01,GRP-017,CHẢ GIÒ TÔM CUA,0.0,33.0
2023-01,GRP-018,CHẢ GIÒ TÔM CUA GÓI,0.0,1.5
2023-01,GRP-019,CHẢ GIÒ TÔM THỊT R/GÓI,0.0,100.0
2023-01,GRP-021,CLM - GIA VỊ CHOLIMEX,82996.0,0.0
2023-01,GRP-022,CLM - TƯƠNG ỚT (CHUNG),0.0,30122.0
2023-01,GRP-030,CƯỚC DỊCH VIỄN THÔNG TRẢ SAU (DỊCH CHỊU THUẾ),0.0,1.0
2023-01,GRP-047,CẢO R/GÓI,0.0,8.0
2023-01,GRP-049,DỒI SỤN GIÒN GÓI_,0.0,1.0
2023-01,GRP-053,FOOD - BÁNH (CHUNG),215.0,83.0
2023-01,GRP-054,FUEL - DẦU DO,0.0,10594.89
2023-01,GRP-055,FUEL - XĂNG,0.0,477.09000000000003
2023-01,GRP-056,FUNNY GÓI,0.0,520.0
2023-01,GRP-057,GAN HEO_HỘP,0.0,1800.0
2023-01,GRP-058,GIA KHO,0.0,1200.0
2023-01,GRP-060,GIA KHO THỊT,0.0,1800.0
2023-01,GRP-062,GIẤY,0.0,35.0
2023-01,GRP-063,HAPPY GÓI,0.0,75.0
2023-01,GRP-066,HEO HẦM_HỘP,0.0,1800.0
2023-01,GRP-068,HEO LÁT 3.B.MAI,0.0,3240.0
2023-01,GRP-069,HEO LÁT_HỘP,0.0,720.0
2023-01,GRP-070,HÀNG ONPACK CHÉN,0.0,4.0
2023-01,GRP-071,HẠT NÊM CHUẨN THỊT GÓI,0.0,240.0
2023-01,GRP-072,HẦM,0.0,1800.0
2023-01,GRP-076,KHÁC,0.0,75.0
2023-01,GRP-077,KHÔ SATE THỦY TINH,0.0,108.0
2023-01,GRP-078,KHÔNG TÊN,0.0,7.0
2023-01,GRP-080,KINH DOANH,0.0,5.0
2023-01,GRP-082,LUCKY CÂY GÓI,0.0,2.5
2023-01,GRP-083,LÁT 3.B.MAI,0.0,720.0
2023-01,GRP-085,LẠP XƯỞNG MQL GÓI,0.0,100.0
2023-01,GRP-086,LẨU CHUA HẢI SẢN,0.0,3240.0
2023-01,GRP-088,LẨU THÁI,0.0,7680.0
2023-01,GRP-095,NBT - BÁNH NABATI,5865.0,8070.0
2023-01,GRP-097,NƯỚC MẮM CAO ĐẠM,0.0,120.0
2023-01,GRP-101,NƯỚC MẮM HƯƠNG VIỆT,0.0,240.0
2023-01,GRP-102,NƯỚC MẮM HƯƠNG VIỆT PET,0.0,360.0
2023-01,GRP-105,NƯỚC TƯƠNG HẢO PET,0.0,1080.0
2023-01,GRP-106,NƯỚC TƯƠNG THANH,0.0,13368.0
2023-01,GRP-107,NƯỚC TƯƠNG ĐẬU NÀNH PET,0.0,1200.0
2023-01,GRP-109,OTHER - CÁC MẶT HÀNG KHÁC,0.0,45.1
2023-01,GRP-114,PHÍ DỊCH NGÂN HÀNG,0.0,21.0
2023-01,GRP-120,SATE,0.0,540.0
2023-01,GRP-121,SATE TÔM,0.0,11520.0
2023-01,GRP-122,SATE TÔM PET,0.0,28080.0
2023-01,GRP-123,SATẾ CHAY PET,0.0,720.0
2023-01,GRP-124,SATẾ TÔM NHỰA,0.0,7200.0
2023-01,GRP-125,SERVICE - CHIẾT KHẤU,1202.0,40.0
2023-01,GRP-126,SN - NƯỚC KHOÁNG SANNA,3157.0,520.0
2023-01,GRP-127,SN - YẾN SÀO/NƯỚC YẾN,257075.0,386210.0
2023-01,GRP-128,SƯỜN NẤU ĐẬU,0.0,96.0
2023-01,GRP-136,TIỀN PHẢI THU: 13.813.657,0.0,1.0
2023-01,GRP-143,TIỀN PHẢI THU: 6.738.282,0.0,1.0
2023-01,GRP-147,TÔM VIÊN FUNNY_GÓI,0.0,15.0
2023-01,GRP-148,TƯƠNG,0.0,8000.0
2023-01,GRP-149,TƯƠNG CHAI PET,0.0,9480.0
2023-01,GRP-150,TƯƠNG CHUA NGỌT PET,0.0,90.0
2023-01,GRP-152,TƯƠNG HỘT,0.0,180.0
2023-01,GRP-154,TƯƠNG MUỘI PET,0.0,180.0
2023-01,GRP-156,TƯƠNG ĐEN PHỞ,0.0,14640.0
2023-01,GRP-159,TỔNG CỘNG: CBĐL: 10. 0.7,0.0,1.0
2023-01,GRP-171,TỔNG CỘNG: XXT: 180.,0.0,1.0
2023-01,GRP-177,TỔNG CỘNG: XXT: 85.,0.0,1.0
2023-01,GRP-186,VIÊN FUNNY_GÓI,0.0,50.0
2023-01,GRP-187,VIÊN GÓI,0.0,54.0
2023-01,GRP-188,VIÊN NGON,0.0,10.0
2023-01,GRP-189,VIÊN NGON_GÓI,0.0,85.0
2023-01,GRP-190,VS - XÚC XÍCH VISSAN,28634.5,0.0
2023-01,GRP-194,VUÔNG BELCUBE NGỌT DÂU 15C,0.0,15.0
2023-01,GRP-196,VUÔNG BELCUBE SỮA 15C X15,0.0,176.0
2023-01,GRP-198,VUÔNG BELCUBE SỮA 15C X15::HÀNG KHUYẾN MÃI KHÔNG T,0.0,13.0
2023-01,GRP-199,VUÔNG BELCUBE SỮA 24C X15,0.0,60.0
2023-01,GRP-207,XXTT (GÓI),0.0,190.0
2023-01,GRP-209,XXTT BOOM BOOM (5+1)_GÓI,0.0,22.8
2023-01,GRP-210,"XXTT BOOM BOOM (HŨ 1,)",0.0,720.0
2023-01,GRP-211,XXTT BOOM BOOM GÓI,0.0,18354.0
2023-01,GRP-213,XXTT BOOM BOOM _GÓI,0.0,2400.0
2023-01,GRP-214,XXTT BOOM BOOM _HŨ,0.0,720.0
2023-01,GRP-216,XXTT DINH DƯỠNG GÓI,0.0,1890.0
2023-01,GRP-217,XXTT DINH DƯỠNG HEO GÓI,0.0,2030.0
2023-01,GRP-218,XXTT DZUI DZUI THÙNG,0.0,105.0
2023-01,GRP-219,XXTT GÓI (T-3.),0.0,540.0
2023-01,GRP-220,XXTT HEO (GÓI),0.0,140.0
2023-01,GRP-221,XXTT HEO GÓI (T-3.),0.0,396.0
2023-01,GRP-222,XXTT HEO-BÒ HỘP NHỰA,0.0,48.0
2023-01,GRP-226,XXTT TRỘN ĐỀU XỐT TAMARIND_,0.0,1440.0
2023-01,GRP-228,XỐT BÚN GÓI,0.0,1200.0
2023-01,GRP-233,XỐT CHUA KETCHUP,0.0,72.0
2023-01,GRP-234,XỐT KHO GÓI,0.0,4800.0
2023-01,GRP-240,XỐT RANG PET,0.0,6000.0
2023-01,GRP-244,XỐT ƯỚP THỊT NƯỚNG,0.0,8580.0
2023-01,GRP-245,XỐT ƯỚP THỊT NƯỚNG GÓI,0.0,34800.0
2023-01,GRP-247,XỐT ƯỚP XÍU,0.0,1920.0
2023-02,GRP-000,0.001S-V,0.0,977.06
2023-02,GRP-001,81C-01245,0.0,1.0
2023-02,GRP-002,81C-04800,0.0,1.0
2023-02,GRP-003,81C-18927,0.0,1.0
2023-02,GRP-004,AL - SỮA ANLENE,247.0,0.0
2023-02,GRP-005,BEL - PHÔ MAI,14128.0,3645.0
2023-02,GRP-008,BỘT CANH,0.0,500.0
2023-02,GRP-009,BỘT CANH NẤM BÀO NGƯ,0.0,2000.0
2023-02,GRP-010,BỘT CANH NẤM HƯƠNG,0.0,500.0
2023-02,GRP-015,CHẢ GIÒ THẬP CẨM,0.0,48.0
2023-02,GRP-017,CHẢ GIÒ TÔM CUA,0.0,16.0
2023-02,GRP-019,CHẢ GIÒ TÔM THỊT R/GÓI,0.0,160.0
2023-02,GRP-020,CHẢ GIÒ XỐP CHAY,0.0,101.0
2023-02,GRP-021,CLM - GIA VỊ CHOLIMEX,197768.0,0.0
2023-02,GRP-022,CLM - TƯƠNG ỚT (CHUNG),0.0,18692.0
2023-02,GRP-029,CÔNG THAY PHỤ TÙNG,0.0,3.0
2023-02,GRP-030,CƯỚC DỊCH VIỄN THÔNG TRẢ SAU (DỊCH CHỊU THUẾ),0.0,1.0
2023-02,GRP-046,CẢO HAI MÙA R/GÓI,0.0,14.0
2023-02,GRP-047,CẢO R/GÓI,0.0,15.0
2023-02,GRP-048,DỊCH NGÂN HÀNG,0.0,1.0
2023-02,GRP-053,FOOD - BÁNH (CHUNG),832.0,203.0
2023-02,GRP-054,FUEL - DẦU DO,0.0,15649.43
2023-02,GRP-055,FUEL - XĂNG,0.0,511.5
2023-02,GRP-056,FUNNY GÓI,0.0,407.0
2023-02,GRP-058,GIA KHO,0.0,1800.0
2023-02,GRP-060,GIA KHO THỊT,0.0,3000.0
2023-02,GRP-063,HAPPY GÓI,0.0,10.0
2023-02,GRP-066,HEO HẦM_HỘP,0.0,4691.0
2023-02,GRP-068,HEO LÁT 3.B.MAI,0.0,3240.0
2023-02,GRP-070,HÀNG ONPACK CHÉN,0.0,7.0
2023-02,GRP-071,HẠT NÊM CHUẨN THỊT GÓI,0.0,45.0
2023-02,GRP-072,HẦM,0.0,5135.0
2023-02,GRP-076,KHÁC,0.0,38.0
2023-02,GRP-078,KHÔNG TÊN,0.0,7.0
2023-02,GRP-080,KINH DOANH,0.0,4.0
2023-02,GRP-082,LUCKY CÂY GÓI,0.0,2.5
2023-02,GRP-084,LÁT CON CƯỜI BURGER X32,0.0,1.0
2023-02,GRP-085,LẠP XƯỞNG MQL GÓI,0.0,200.0
2023-02,GRP-086,LẨU CHUA HẢI SẢN,0.0,2880.0
2023-02,GRP-088,LẨU THÁI,0.0,6240.0
2023-02,GRP-089,LỌC NHIÊN LIỆU,0.0,3.0
