STT,Mã Nhóm,Tên Nhóm Sản Phẩm
1.1,PC-DELL-LAT,Laptop DELL Latitude Series
1.2,PC-DELL-VOS,Laptop DELL Vostro Series
1.3,PC-DELL-INS,Laptop DELL Inspiron Series
1.4,PC-DELL-XPS,Laptop DELL XPS Premium
1.5,PC-ASU-VIVO,Laptop ASUS VivoBook
1.6,PC-ASU-ZEN,Laptop ASUS ZenBook
1.7,PC-ASU-EXP,Laptop ASUS ExpertBook
1.8,PC-ASU-ROG,Laptop ASUS Gaming (ROG/TUF)
1.9,PC-LEN-TP,Laptop LENOVO ThinkPad
1.10,PC-LEN-IP,Laptop LENOVO IdeaPad
1.11,PC-LEN-V,Laptop LENOVO V-Series
1.12,PC-MSI-MOD,Laptop MSI Modern Series
1.13,PC-MSI-GF,Laptop MSI Gaming Series
1.14,PC-HP-PAV,Laptop HP Pavilion
1.15,PC-HP-PRO,Laptop HP ProBook
1.16,PC-HP-EL,Laptop HP EliteBook
1.17,PC-ACER-ASP,Laptop ACER Aspire
1.18,PC-ACER-NIT,Laptop ACER Nitro Gaming
1.19,PC-MAC-AIR,Apple MacBook Air
1.20,PC-MAC-PRO,Apple MacBook Pro
1.21,PC-TAB-IPAD,Apple iPad Tablet
1.22,PC-TAB-SAM,Samsung Galaxy Tab
2.1,PC-SYS-I3,PC Văn phòng Core i3
2.2,PC-SYS-I5,PC Văn phòng Core i5
2.3,PC-SYS-I7,PC Đồ họa Core i7
2.4,PC-SYS-G,PC Gaming (Entry/Mid)
2.5,PC-WS-XEON,Workstation / Server Xeon
2.6,PC-AIO-DELL,All-in-One DELL
2.7,PC-AIO-HP,All-in-One HP
2.8,PC-MINI,NUC / Mini PC
3.1,LCD-SAM-19,Màn hình Samsung 19-20 inch
3.2,LCD-SAM-24,Màn hình Samsung 24-27 inch
3.3,LCD-DELL-22,Màn hình DELL 22 inch
3.4,LCD-DELL-24,Màn hình DELL 24 inch
3.5,LCD-DELL-27,Màn hình DELL 27 inch
3.6,LCD-ASU-24,Màn hình ASUS 24 inch
