Ngày,Số HĐ,Diễn giải,TK Đ/Ứ,Nợ,Có
2023-01-02,5,Phần mềm Kaspersky KL1941MCCFS,511,650000.0,0
2023-01-02,6,Hộp mực in Ecoplus 12A,511,109091.0,0
2023-01-02,2,Máy in laser Brother HL-L2321D,511,73090909.0,0
2023-01-02,2,MÀN HÌNH VI TÍNH (LCD) LENOVO C22-20 21.5INCH/1920 x 1080/75Hz/VGA/HDMI/ĐEN/3Y(62A7KAR1WW),511,54545454.0,0
2023-01-02,1,"Máy tính bàn Lenovo Desktop ThinkCentre M70a Gen 3 -i3-12100 ( 4.3 GHZ) - 8GB RAM - 256GB SSD - 21.5 inch FHD -1Yr, P/n 11VL0000VA",511,13536364.0,0
2023-01-02,3,Máy in đa chức năng Brother MFCL2701D,511,23318182.0,0
2023-01-02,4,Máy đếm tiền Mazsan MS - 5700C,511,2731482.0,0
2023-01-02,2,MÁY TÍNH ĐỂ BÀN (PC) LENOVO ThinkCentre neo 50s Gen 3 i5- 12400(6*2.5)/8GD4/256GSSD/WL/BT/KB/M/W11/ĐEN( 11T0004UVN),511,10272727.0,0
2023-01-02,3,Máy in laser Brother HL-L2321D,511,48727273.0,0
2023-01-03,7,Máy in bill Epson TM-T82 III,511,10063636.0,0
2023-01-03,8,Bộ máy vi tính,511,15136364.0,0
2023-01-04,9,Loa SoundMax A130,511,109091.0,0
2023-01-04,9,Chuột máy tính  Logitech B100,511,63636.0,0
2023-01-04,9,Bàn phím Logitech K120,511,136364.0,0
2023-01-04,12,"Màn hình LCD Dell P3421W 34""",511,12718182.0,0
2023-01-04,11,Chuột vi tính có dây Rapoo N100,511,318182.0,0
2023-01-04,11,Bàn phím Keyboard NK2500,511,700000.0,0
2023-01-04,11,Loa SoundMax A710/2.1,511,1090909.0,0
2023-01-04,11,Máy  in Brother HL-L2321D,511,2436364.0,0
2023-01-04,10,Bộ chuyển đổi mini Displayport sang VGA + HDMI màu trắng Ugreen ( 10427),511,381818.0,0
2023-01-05,13,Hộp mực in Izinet 12A,511,336364.0,0
2023-01-05,15,Hộp mực  in Ecoplus 12A,511,118182.0,0
2023-01-05,14,Hộp mực in Izinet 12A,511,636364.0,0
2023-01-05,14,Mực Laser TN-2385 Brother,511,509091.0,0
2023-01-06,16,"Thiết bị định tuyến TP-Link 450M,2.4GHz,TL-WR940N",511,390909.0,0
2023-01-06,16,"Thiết bị thu phát vô tuyến băng tần  2,4/5 Ghz , TPLINK  ARCHER AX23",511,1227273.0,0
2023-01-08,21,MÁY TÍNH BỘ PC DELL INSPIRON 3910 CORE I5,511,16000000.0,0
2023-01-08,20,Bàn phím Keyboard NK2500,511,1090910.0,0
2023-01-08,20,Chuột vi tính có dây  Rapoo N100,511,1000000.0,0
2023-01-08,20,Thẻ nhớ Micro SD+Adaptor Hikvision HS-TF-C1/32GB,511,581820.0,0
2023-01-08,17,Máy  In Canon Laser LBP-2900,511,3627273.0,0
2023-01-08,20,Vỏ thùng máy tính  Jetek A30,511,1363635.0,0
2023-01-08,19,Máy  in Brother DCP-B7535DW,511,5072727.0,0
2023-01-08,18,Dây USB 3.0 nối dài 1.5m Ugreen (30126),511,118182.0,0
2023-01-08,18,Bàn phím  Keyboard NK2500,511,254545.0,0
2023-01-09,24,Hộp mực  in Ecoplus 12A,511,236364.0,0
2023-01-09,26,"Thiết bị chuyển mạch TP-Link,TL-SF1024D",511,800000.0,0
2023-01-09,22,"Ổ cứng  Seagate Expansion 1TB 2.5""",511,1136364.0,0
2023-01-09,23,MÁY TÍNH ĐỂ BÀN HP 280 PRO G9 SFF 72K92PA  -Intel Core i5-12500,511,12400000.0,0
2023-01-09,25,Mực  in phun Brother BT5000Y,511,168182.0,0
2023-01-09,27,Máy in phun đa năng Brother DCPT226 (màu trắng),511,3445455.0,0
2023-01-09,25,Mực  in phun Brother BT5000M,511,168182.0,0
2023-01-10,28,MÀN HÌNH LCD 23.8 Inch LENOVO THINKVISION S24e-20 (62AEKAR2WW),511,11818182.0,0
2023-01-10,28,MÁY TÍNH ĐỂ BÀN (PC) LENOVO ThinkCentre neo 50sGen 3 i5- 12400(6*2.5)/4GD4/256GSSD/WL/BT/KB/M/NoOS/ĐEN(11T000AXVA),511,18909091.0,0
2023-01-10,29,"Máy tính bàn Lenovo Desktop ThinkCentre M70a Gen 3 -i3-12100 ( 4.3 GHZ) - 8GB RAM - 256GB SSD - 21.5 inchFHD -1Yr, P/n 11VL0000VA",511,13536364.0,0
2023-01-10,31,Máy quét HP Scanjet Pro 3000 S4 Sheet-feed - WTY_6FW07A,511,9772727.0,0
2023-01-10,30,Máy quét HP Scanjet Pro 3000 S4 Sheet-feed - WTY_6FW07A,511,9772727.0,0
2023-01-10,32,Chuột máy tính  Dell MS116,511,1363636.0,0
2023-01-10,32,ổ cứng gắn trong 240GB SSD Exceria BiCS FLASH 2.5'' SATA3 Kioxia,511,6818182.0,0
2023-01-10,32,Bộ nhớ trong Kingston 8GD4-2666,511,6000000.0,0
