Ngày,Số CT,Diễn giải,TK Nợ,TK Có,Số tiền
Ngày,Số HĐ,Diễn giải,TK Nợ,TK Có,Số tiền
2023-01-02,5,Phần mềm Kaspersky KL1941MCCFS,131,511,650000.0
2023-01-02,249,THU LAI VAY QUA HAN PDLD2229700440,6422,1111,740536.0
2023-01-02,8,Máy chiếu đa năng ViewSonic PA503XE,6422,1111,9000000.0
2023-01-02,254,THU LAI VAY QUA HAN PDLD2228500483,6422,1111,738603.0
2023-01-02,2,Bộ chuyển đổi mini Displayport sang VGA + HDMI màu trắng Ugreen ( 10427),6422,1111,290909.0
2023-01-02,2,"Cáp dữ liệu nối mạng CAT6 UTP, truyền dữ liệu giữa các máy tính, dài 10M Ugreen ( 11205)",6422,1111,90909.0
2023-01-02,25,Máy in bill Epson TM-T82 III,6422,1111,8610000.0
2023-01-02,32,Máy in laser Brother HL-L2321D,6422,1111,260363638.0
2023-01-02,32,Máy in đa chức năng Brother MFC-L2701D,6422,1111,9450909.0
2023-01-02,32,Máy in phun đa năng Brother DCP-T220,6422,1111,25198836.0
2023-01-02,32,Máy in phun đa năng Brother DCP-T226 (màu trắng),6422,1111,25198836.0
2023-01-02,32,Máy in phun đa năng Brother MFC-T920DW,6422,1111,6596236.0
2023-01-02,32,Máy in laser Brother DCP-B7535DW,6422,1111,29301818.0
2023-01-02,32,Mực in Brother TN-2385,6422,1111,52380000.0
2023-01-02,32,Mực in Brother TN-B022,6422,1111,4365000.0
2023-01-02,32,Trống từ Brother DR-2385,6422,1111,11110909.0
2023-01-02,32,Trống từ Brother DR-B022,6422,1111,5555455.0
2023-01-02,32,Mực in phun Brother BTD60BK BH17 ASA,6422,1111,3492000.0
2023-01-02,32,Mực in phun Brother BT5000C,6422,1111,2539636.0
2023-01-02,32,Mực in phun Brother BT5000M,6422,1111,2539636.0
2023-01-02,32,Mực in phun Brother BT5000Y,6422,1111,2539636.0
2023-01-02,263,THU LAI VAY QUA HAN PDLD2227000299,6422,1111,523778.0
2023-01-02,262,THU LAI VAY QUA HAN PDLD2227200389,6422,1111,488178.0
2023-01-02,261,THU LAI VAY QUA HAN PDLD2227300451,6422,1111,441320.0
2023-01-02,260,THU LAI VAY QUA HAN PDLD2227700350,6422,1111,1270908.0
2023-01-02,259,THU LAI VAY QUA HAN PDLD2228000535,6422,1111,428468.0
2023-01-02,258,THU LAI VAY QUA HAN PDLD2228300453,6422,1111,3702684.0
2023-01-02,257,THU LAI VAY QUA HAN PDLD2228400092,6422,1111,740536.0
2023-01-02,250,THU LAI VAY QUA HAN PDLD2229700340,6422,1111,740536.0
2023-01-02,251,THU LAI VAY QUA HAN PDLD2229200450,6422,1111,707952.0
2023-01-02,41,Mực in Brother TN-2385,6422,1111,8730000.0
2023-01-02,253,THU LAI VAY QUA HAN PDLD2228600465,6422,1111,864872.0
2023-01-02,5,Giá vốn (80%): Phần mềm Kaspersky KL1941MCCFS,632,1561,520000.0
2023-01-02,255,THU LAI VAY QUA HAN PDLD2228500024,6422,1111,1046867.0
2023-01-02,273,THU LAI VAY QUA HAN PDLD2234700421,6422,1111,1423057.0
2023-01-02,272,THU LAI VAY QUA HAN PDLD2235000387,6422,1111,614371.0
2023-01-02,271,THU LAI VAY QUA HAN PDLD2235300287,6422,1111,371091.0
2023-01-02,252,THU LAI VAY QUA HAN PDLD2229000275,6422,1111,1418712.0
2023-01-02,269,THU LAI VAY QUA HAN PDLD2235600430,6422,1111,219418.0
2023-01-02,268,THU LAI VAY QUA HAN PDLD2235700402,6422,1111,287987.0
2023-01-02,267,THU LAI VAY QUA HAN PDLD2225700570,6422,1111,937365.0
2023-01-02,266,THU LAI VAY QUA HAN PDLD2226300522,6422,1111,1398792.0
2023-01-02,265,THU LAI VAY QUA HAN PDLD2226400456,6422,1111,778197.0
2023-01-02,6,Hộp mực in Ecoplus 12A,131,511,109091.0
2023-01-02,6,Giá vốn (80%): Hộp mực in Ecoplus 12A,632,1561,87272.8
2023-01-02,2,Máy in laser Brother HL-L2321D,131,511,73090909.0
2023-01-02,270,THU LAI VAY QUA HAN PDLD2235300450,6422,1111,436259.0
2023-01-02,2,MÀN HÌNH VI TÍNH (LCD) LENOVO C22-20 21.5INCH/1920 x 1080/75Hz/VGA/HDMI/ĐEN/3Y(62A7KAR1WW),131,511,54545454.0
2023-01-02,2,Giá vốn (80%): Máy in laser Brother HL-L2321D,632,1561,58472727.2
2023-01-02,264,THU LAI VAY QUA HAN PDLD2226900375,6422,1111,1119032.0
2023-01-02,1,"Giá vốn (80%): Máy tính bàn Lenovo Desktop ThinkCentre M70a Gen 3 -i3-12100 ( 4.3 GHZ) - 8GB RAM - 256GB SSD - 21.5 inch FHD -1Yr, P/n 11VL0000VA",632,1561,10829091.2
2023-01-02,1,"Máy tính bàn Lenovo Desktop ThinkCentre M70a Gen 3 -i3-12100 ( 4.3 GHZ) - 8GB RAM - 256GB SSD - 21.5 inch FHD -1Yr, P/n 11VL0000VA",131,511,13536364.0
2023-01-02,3,Giá vốn (80%): Máy in đa chức năng Brother MFCL2701D,632,1561,18654545.6
2023-01-02,3,Giá vốn (80%): Máy in laser Brother HL-L2321D,632,1561,38981818.4
2023-01-02,3,Máy in đa chức năng Brother MFCL2701D,131,511,23318182.0
2023-01-02,4,Giá vốn (80%): Máy đếm tiền Mazsan MS - 5700C,632,1561,2185185.6
2023-01-02,4,Máy đếm tiền Mazsan MS - 5700C,131,511,2731482.0
