maNhom,tenNhom,hhpItem,dauKySL,dauKyTien,nhapSL,nhapTien,xuatSL,xuatTien
OTH-001,Khác / Chưa phân loại - 100,ACC-GEN-FREE - Phụ kiện & vật tư phụ (Không thu tiền),0,0.0,0,0.0,0,0.0
PC-057,Máy tính (PC/Laptop) - Khác,PC-CUSTOM-U8M - Máy bộ PC để bàn Lắp ráp (Dưới 8 Triệu),5,92342018.44339275,14,353896880.3821431,18,446138898.8255358
OTH-001,Khác / Chưa phân loại - 100,ACC-GEN-200K_1M - Phụ kiện & vật tư phụ (200k - 1M),331,31666881.71828706,987,89315035.64170663,1317,120881917.3599937
VP-035,Thiết bị văn phòng - MOUSE,MOUSE-LOGI-WLS - Chuột máy tính Logitech (Không Dây),201,27936516.67018627,418,75650830.59419122,557,102249397.0683622
PC-022,Máy tính (PC/Laptop) - CARD,NW-ADAPTER - USB/Card thu phát WiFi,261,24972641.58271084,779,70492819.41731456,1039,95365461.0000254
VP-001,Thiết bị văn phòng - 12A,INK-GEN-12A-COMPAT - Mực in Phổ thông (12A/303) Thường (100K-250K (Hộp mực tương thích)),85,20190486.74726122,252,57009597.21811061,336,77100083.96537183
VP-035,Thiết bị văn phòng - MOUSE,MOUSE-RAPOO-WIR - Chuột máy tính Rapoo (Dây),105,20004326.33859473,314,56828614.36979915,418,76732940.70839387
OTH-001,Khác / Chưa phân loại - 100,ACC-GEN-U200K - Phụ kiện & vật tư phụ (< 200k),208,19902185.40364014,620,56104682.97655331,827,75906868.38019346
OTH-001,Khác / Chưa phân loại - 100,ACC-GEN-O1M - Phụ kiện & vật tư phụ (> 1M),204,2764656208.165734,608,55018785.88668453,811,74438295.35228162
PC-057,Máy tính (PC/Laptop) - Khác,PC-CUSTOM-8-12M - Máy bộ PC để bàn Lắp ráp (Từ 8-12 Triệu),2,15614139.9359243,8,57914511.45966793,10,73428651.39559223
OTH-001,Khác / Chưa phân loại - 100,CABLE-SIG - Cáp truyền tín hiệu HDMI/VGA/USB,195,18661077.3851777,583,52756500.28279125,777,71317577.66796894
