shdon,loaihd,month,nbten,ten,dvtinh,sluong,thtien,tthue
57638,muavao,12,TRUNG TÂM KINH DOANH VNPT - GIA LAI - CHI NHÁNH TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG,Cước dịch vụ Viễn thông-Công nghệ thông tin tháng 12 năm 2023,Tháng,1.0000,375826.00,37583.00
57637,muavao,12,TRUNG TÂM KINH DOANH VNPT - GIA LAI - CHI NHÁNH TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG,Cước dịch vụ Viễn thông-Công nghệ thông tin tháng 12 năm 2023,Tháng,1.0000,437970.00,43797.00
29331,muavao,12,TRUNG TÂM KINH DOANH VNPT - GIA LAI - CHI NHÁNH TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG,Cước dịch vụ Viễn thông-Công nghệ thông tin tháng 12 năm 2023,Tháng,1.0000,249636.00,24964.00
2149,muavao,12,TRUNG TÂM KINH DOANH VNPT - GIA LAI - CHI NHÁNH TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG,Cước dịch vụ Viễn thông-Công nghệ thông tin tháng 12 năm 2023,Tháng,1.0000,274000.00,27400.00
2109,muavao,12,TRUNG TÂM KINH DOANH VNPT - GIA LAI - CHI NHÁNH TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG,Cước dịch vụ Viễn thông-Công nghệ thông tin tháng 12 năm 2023,Tháng,1.0000,20000.00,2000.00
2061,muavao,12,TRUNG TÂM KINH DOANH VNPT - GIA LAI - CHI NHÁNH TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG,Cước dịch vụ Viễn thông-Công nghệ thông tin tháng 12 năm 2023,Tháng,1.0000,24545.00,2455.00
2060,muavao,12,TRUNG TÂM KINH DOANH VNPT - GIA LAI - CHI NHÁNH TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG,Cước dịch vụ Viễn thông-Công nghệ thông tin tháng 12 năm 2023,Tháng,1.0000,26671.00,2667.00
1887,muavao,12,TRUNG TÂM KINH DOANH VNPT - GIA LAI - CHI NHÁNH TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG,Cước dịch vụ Viễn thông-Công nghệ thông tin tháng 12 năm 2023,Tháng,1.0000,233636.00,23364.00
57731,muavao,12,TRUNG TÂM KINH DOANH VNPT - GIA LAI - CHI NHÁNH TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG,Cước dịch vụ Viễn thông-Công nghệ thông tin tháng 12 năm 2023,Tháng,1.0000,472531.00,47253.00
727,banra,7,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Bộ vi xử lý  Intel Core i3-10105,Cái,1.0000,2227273.00,0.00
34,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Bàn phím Keyboard NK2500,Cái,2.0000,218182.00,0.00
727,banra,7,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Mạch chính vi tính Gigabyte H510M-H,Cái,1.0000,1400000.00,0.00
34,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Chuột máy tính Dell MS116,Cái,2.0000,145455.00,0.00
727,banra,7,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Chuột vi tính Rapoo M20,Cái,1.0000,110909.00,0.00
52,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,"Ổ cứng di động Seagate Expansion 1TB 2.5""",Cái,1.0000,1318182.00,0.00
51,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Máy  In Canon Laser LBP-2900,Cái,1.0000,3627273.00,0.00
51,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Hộp mực in Izinet 12A,Hộp,1.0000,336363.00,0.00
50,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,BỘ MÁY VI TÍNH,Bộ,2.0000,16290909.00,0.00
50,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Điện thoại có dây Panasonic KXTS500,Cái,4.0000,1236364.00,0.00
50,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,"Ổ cứng gắn trong 240GB SSD EXCERIA BICS FLASH2.5""SATA3 KIOXIA",Cái,2.0000,1254545.00,0.00
50,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Ram 4GB Kingston,Cái,1.0000,500000.00,0.00
50,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,"Thiết bị chuyển mạch TP-Link,TL-SG1008D",Cái,1.0000,418182.00,0.00
50,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Máy  In Canon Laser LBP-2900,Cái,1.0000,3627273.00,0.00
50,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Nguồn Jetek Model J400,Cái,1.0000,536363.00,0.00
49,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,MÀN HÌNH VI TÍNH (LCD) LENOVO C22-2021.5INCH/1920 x 1080/75Hz/VGA/HDMI/ĐEN/3Y(62A7KAR1WW),Cái,1.0000,2318182.00,0.00
48,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Ổ cứng 500GB Kingston SSD NV1 M2 2280(SNVS/500G),Cái,2.0000,1636364.00,0.00
48,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Bảng mạch chính Asus Prime H510MF,Cái,2.0000,2636364.00,0.00
48,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,"Thiết bị thu phát vô tuyến TP-Link,TL-WN822N",Cái,3.0000,545454.00,0.00
48,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Bộ nhớ trong  Kingston 8GD4-2666,Cái,2.0000,1181818.00,0.00
47,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Ổ cứng GT Western 1TB,Cái,1.0000,863636.00,0.00
46,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Dây  HDMI 1.4 đồng 100% 15M,Chiếc,1.0000,700000.00,0.00
46,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Gía treo máy chiếu 1.2m,Cái,1.0000,409091.00,0.00
45,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Máy in Brother HL-L2321D,Cái,1.0000,2681818.00,0.00
44,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Máy quét canon DR-F120,Cái,1.0000,8318182.00,0.00
43,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Máy In Canon Laser LBP-2900,Cái,1.0000,3590909.00,0.00
43,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Máy chiếu đa năng ViewSonic PA503XE,Bộ,1.0000,10718182.00,0.00
43,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Màn chiếu  treo P84WS,Cái,1.0000,909091.00,0.00
43,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,6R9M6PA: Máy tính xách tay HP 14s-dq5053TU - Intel Corei5-1235U - U15 / 8GB DDR4 2DM 3200/ SSD 512Gb / IntelIris Xe/ 14 Inch HD/ Win 11 home/ Natural Silver/ 1Y,Cái,1.0000,15445454.00,0.00
43,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,"Máy tính để bàn Lenovo ThinkCentre neo 50s Gen 3 ,i3-12100, 4GB, 1TB, intel UHD Graphics 730, ac+ BT,KB,M,No OS, 1Y WTY_11T000ARVA - MÀN HÌNH LCD 23.8 Inch LENOVO THINKVISION S24e-20 (62AEKAR2WW)",Bộ,2.0000,22800000.00,0.00
42,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Bộ nhớ trong Kingston 16GB-3200U C16,Cái,1.0000,1363636.00,0.00
41,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,"Ổ cứng gắn trong 240GB SSD EXCERIA BICS FLASH2.5""SATA3 KIOXIA",Cái,3.0000,1636364.00,0.00
41,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Chuột máy tính Logitech M331,Cái,5.0000,1290909.00,0.00
41,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Bàn phím Dell Multimedia KB216,Cái,5.0000,681818.00,0.00
41,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Thiết bị truyền ảnh Webcam Logitech C270,Cái,3.0000,1200000.00,0.00
41,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Thanh ram G.Skill 2400-8GB-8GIS,Cái,3.0000,1554545.00,0.00
40,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Máy chấm công vân tay RJ-3030. Hiệu: Ronald jack,Cái,1.0000,2536364.00,0.00
40,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Chuột máy tính Logitech B100,Cái,1.0000,54545.00,0.00
39,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Camera quan sát DS-2CD2T43G2-2I,Cái,26.0000,78000000.00,0.00
39,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Đầu ghi hình DS-7632NI-K2,Cái,1.0000,4500000.00,0.00
39,banra,1,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Bộ chuyển đổi quang điện AP100-20A Aptek,Bộ,6.0000,2550000.00,0.00
