shdon,loaihd,month,nbten,ten,dvtinh,sluong,thtien,tthue
630,banra,5,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,MÁY TÍNH ĐỂ BÀN (PC) DELL VOS 3020T i5-13400(10*2.5)/8GD4/512GSSD/SD/WLn/BT5.2/KB/M/W11SL/Pro/ĐEN (6FM7X11),Cái,1.0000,11818182.00,0.00
1392,banra,12,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,"Máy tính xách tay Dell Latitude 3420, CTO Intel Core i3-1115G4 (2 Core,6M cache, base 3.0GHz, up to 4.10), MH 14 inch HD (1920 x 1080), RAM8GB, 256GB SSD, Intel® UHD Graphics, Ubuntu",Cái,1.0000,7129630.00,0.00
1386,banra,12,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Màn hình máy vi tính Koorui E2212F,Cái,3.0000,4972221.00,0.00
1386,banra,12,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Ổ đĩa cứng SSD của máy vi tính hiệu TeamGroup CX2 256GB 2.5 Inch Sata III,Cái,3.0000,3194445.00,0.00
1386,banra,12,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Bàn phím Logitech K120 (920-002582),Cái,4.0000,555556.00,0.00
1386,banra,12,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,USB hiệu Kingston 32GB 3.0DT100G3 (DT100G3/32GB),Cái,7.0000,453705.00,0.00
1386,banra,12,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Bộ bàn phím và chuột vi tính không dây Rapoo 8000M màu đen,Bộ,2.0000,537036.00,0.00
1386,banra,12,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Chuột Logitech Pebble Mouse 2 M350S đen,Cái,2.0000,750000.00,0.00
1386,banra,12,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Tai Nghe Logitech H110,Cái,7.0000,1101852.00,0.00
1387,banra,12,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,MÁY IN PHUN ĐA CHỨC NĂNG BROTHER DCP-T430W,Cái,1.0000,3416667.00,0.00
1389,banra,12,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,MÁY IN ĐƠN NĂNG BROTHER HL-B2100D,Cái,1.0000,3138889.00,0.00
1390,banra,12,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,"Cáp mạng Cat6 FTP 305m/thùng, Hiệu Aptek",Thùng,1.0000,1435185.00,0.00
1379,banra,12,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,L8050 MÁY IN EPSON,Cái,1.0000,6472222.00,0.00
1380,banra,12,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Bàn phím Logitech Gaming G413 SE (920-010439),Cái,1.0000,1850000.00,0.00
1380,banra,12,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Ổ cứng SSD Samsung 980 500GB M.2 NVME,Cái,1.0000,1772222.00,0.00
1381,banra,12,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Máy in Canon MF264DW,Cái,1.0000,5555556.00,0.00
1381,banra,12,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,"Máy quét HP Scanjet Pro 3000s4,1Y WTY-6FW07A",Cái,1.0000,7870370.00,0.00
1381,banra,12,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Mực Laser TN-2385 Brother,Hộp,2.0000,925926.00,0.00
1381,banra,12,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Trống từ Brother DR-2385,Hộp,2.0000,1111111.00,0.00
1382,banra,12,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,MÁY IN LASER CANON LBP6030B,Cái,1.0000,2768519.00,0.00
1382,banra,12,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,HỘP MỰC IN TƯƠNG THÍCH CB435A/CE285A,Hộp,1.0000,185185.00,0.00
1383,banra,12,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,BÀN PHÍM LOGITECH PEBBLE KEYS 2 K380S ĐEN,Cái,1.0000,722222.00,0.00
1384,banra,12,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,HỘP MỰC IN TƯƠNG THÍCH CB435A/CE285A,Hộp,2.0000,185185.00,0.00
1385,banra,12,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,MÁY IN MÃ VẠCH XP-D465B _ UW,Cái,1.0000,1435185.00,0.00
1385,banra,12,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,"THIẾT BỊ TRUYỀN DỮ LIỆU BĂNG RỘNG HOẠT ĐỘNG TRONG BĂNG TẦN 2,4 GHZ, TL-WN722N, HIỆU TP-LINK",Cái,1.0000,166667.00,0.00
1377,banra,11,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Máy tinh để bàn Lenovo ThinkCentre Neo 50t Gen5 ( gồm i5-13400-8GB RAM-512GB SSD - WF+BT- Keyboard+mouse-No OS-1Yr Premier Suppor_12UB0022VA),Chiếc,1.0000,12675926.00,0.00
1377,banra,11,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Đầu nối DVI 24+1 male sang HDMI female Ugreen (20124),Chiếc,1.0000,185185.00,0.00
1377,banra,11,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Cáp dữ liệu VIDEO HDMI 1.4 truyền âm thanh hình ảnh dài 1.5M Ugreen (60820),Chiếc,1.0000,92593.00,0.00
