shdon,loaihd,tthai,tgtcthue,tdlap,nbten,nmten
42,banra,1,1363636.00,2023-01-13 17:00:00,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,CÔNG TY TNHH MỘT THÀNH VIÊN SÔNG ĐÀ 10.1
43,banra,1,53463636.00,2023-01-15 17:00:00,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,CÔNG TY CỔ PHẦN XÂY DỰNG THIÊN QUÂN GIA LAI
52,banra,1,1318182.00,2023-01-27 17:00:00,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,CÔNG TY CỔ PHẦN TƯ VẤN XÂY DỰNG GIAO THÔNG AN BÌNH
57731,muavao,1,472531.00,2023-12-31 17:00:00,TRUNG TÂM KINH DOANH VNPT - GIA LAI - CHI NHÁNH TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG,Công Ty TNHH MTV Huy Vũ
57638,muavao,1,375826.00,2023-12-31 17:00:00,TRUNG TÂM KINH DOANH VNPT - GIA LAI - CHI NHÁNH TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG,Công Ty TNHH MTV Huy Vũ
57637,muavao,1,437970.00,2023-12-31 17:00:00,TRUNG TÂM KINH DOANH VNPT - GIA LAI - CHI NHÁNH TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG,Công Ty TNHH MTV Huy Vũ
29331,muavao,1,249636.00,2023-12-31 17:00:00,TRUNG TÂM KINH DOANH VNPT - GIA LAI - CHI NHÁNH TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG,Công Ty TNHH MTV Huy Vũ
2149,muavao,1,274000.00,2023-12-31 17:00:00,TRUNG TÂM KINH DOANH VNPT - GIA LAI - CHI NHÁNH TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG,Công Ty TNHH MTV Huy Vũ
2109,muavao,1,20000.00,2023-12-31 17:00:00,TRUNG TÂM KINH DOANH VNPT - GIA LAI - CHI NHÁNH TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG,Công Ty TNHH MTV Huy Vũ
2061,muavao,1,24545.00,2023-12-31 17:00:00,TRUNG TÂM KINH DOANH VNPT - GIA LAI - CHI NHÁNH TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG,Công Ty  TNHH MTV Huy Vũ
2060,muavao,1,26671.00,2023-12-31 17:00:00,TRUNG TÂM KINH DOANH VNPT - GIA LAI - CHI NHÁNH TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG,Công Ty TNHH MTV  Huy Vũ
1887,muavao,1,233636.00,2023-12-31 17:00:00,TRUNG TÂM KINH DOANH VNPT - GIA LAI - CHI NHÁNH TỔNG CÔNG TY DỊCH VỤ VIỄN THÔNG,Cửa Hàng Máy Tình Trường Sơn
71491000,muavao,1,54545.00,2023-11-10 17:00:00,NGÂN HÀNG TMCP Á CHÂU,CTY TNHH MTV HUY VU
6637,muavao,1,220000.00,2023-01-30 17:00:00,NGAN HANG TMCP PHAT TRIEN THANH PHO HO CHI MINH,CONG TY TNHH MOT THANH VIEN HUY VU
6636,muavao,1,7301990.00,2023-01-30 17:00:00,NGAN HANG TMCP PHAT TRIEN THANH PHO HO CHI MINH,CONG TY TNHH MOT THANH VIEN HUY VU
971,banra,1,218182.00,2023-09-18 17:00:00,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,CÔNG TY TNHH BỆNH VIỆN MẮT CAO NGUYÊN
51557,muavao,1,97916.00,2023-04-02 17:00:00,Ngân hàng TMCP Sài Gòn Thương Tín - Chi nhánh Gia Lai,CONG TY TNHH MTV HUY VU
51,banra,1,3963636.00,2023-01-27 17:00:00,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,CHI NHÁNH 716 THUỘC TỔNG CÔNG TY 15
