shdon,loaihd,tthai,tgtcthue,tdlap,nbten,nmten
32,muavao,1,1927273.00,2024-01-30 17:00:00,CÔNG TY TNHH ĐIỆN TỬ TIN HỌC KIM PHÁT,Công Ty Trách Nhiệm Hữu Hạn một thành viên Huy Vũ
1386,banra,1,11564815.00,2025-12-02 17:00:00,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,TRƯỜNG THCS NGUYỄN VĂN CỪ
1387,banra,1,3416667.00,2025-12-02 17:00:00,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,CÔNG TY TNHH MỘT THÀNH VIÊN NHƠN NGUYỄN
1388,banra,1,7129630.00,2025-12-02 17:00:00,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,CHI NHÁNH PETROLIMEX PLEIKU - CÔNG TY TNHH MTV PETROLIMEX GIA LAI
1389,banra,1,3138889.00,2025-12-02 17:00:00,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,CÔNG TY TNHH VĨNH TÍN
1390,banra,1,1435185.00,2025-12-02 17:00:00,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,CÔNG TY TNHH TIN HỌC QUANG ANH GL
1379,banra,1,6472222.00,2025-12-01 17:00:00,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,CÔNG TY TNHH MỘT THÀNH VIÊN XÂY DỰNG - QUẢNG CÁO ANH MINH
1380,banra,1,3622222.00,2025-12-01 17:00:00,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,CÔNG TY PHÁT TRIỂN THỦY ĐIỆN SÊ SAN - CHI NHÁNH TẬP ĐOÀN ĐIỆN LỰC VIỆT NAM
1381,banra,1,15462963.00,2025-12-01 17:00:00,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,Phòng Tham Mưu - Sư Đoàn 320 - Quân Đoàn 34
1382,banra,1,2953704.00,2025-12-01 17:00:00,CÔNG TY TNHH MỘT THÀNH VIÊN HUY VŨ,CÔNG TY TNHH MỘT THÀNH VIÊN MINH TÂN GIA LAI
