m,s_diff,s_notes,p_diff,p_notes
1,28304546.0,REMAINING_DIFF: 28304546.0,-122352690.0,REMAINING_DIFF: -122352690.0
2,131127272.0,REMAINING_DIFF: 131127272.0,-105292678.0,REMAINING_DIFF: -105292678.0
3,-160081818.0,REMAINING_DIFF: -160081818.0,-96288872.0,REMAINING_DIFF: -96288872.0
4,0.0,MATCHED,-113061662.0,REMAINING_DIFF: -113061662.0
5,8445455.0,REMAINING_DIFF: 8445455.0,218036329.0,REMAINING_DIFF: 218036329.0
6,9654545.0,REMAINING_DIFF: 9654545.0,67451037.0,REMAINING_DIFF: 67451037.0
7,8963637.0,REMAINING_DIFF: 8963637.0,216113993.0,REMAINING_DIFF: 216113993.0
8,-16895455.0,REMAINING_DIFF: -16895455.0,306400776.0,REMAINING_DIFF: 306400776.0
9,-5386365.0,REMAINING_DIFF: -5386365.0,-168105204.0,REMAINING_DIFF: -168105204.0
10,97590069.0,REMAINING_DIFF: 97590069.0,-8732344.0,REMAINING_DIFF: -8732344.0
11,-74718518.0,REMAINING_DIFF: -74718518.0,21598593.0,REMAINING_DIFF: 21598593.0
12,-28645119.0,REMAINING_DIFF: -28645119.0,155136811.0,REMAINING_DIFF: 155136811.0
