year,month,loaihd,tgtcthue
2023,1,banra,919511396.0
2023,1,muavao,1182657319.0
2023,2,banra,1195768183.0
2023,2,muavao,1779346435.0
2023,3,banra,1549732728.0
2023,3,muavao,1506427079.0
2023,4,banra,978168179.0
2023,4,muavao,761553145.0
2023,5,banra,866282729.0
2023,5,muavao,636156329.0
2023,6,banra,994051814.0
2023,6,muavao,722252696.0
2023,7,banra,1163811820.0
2023,7,muavao,963442785.0
2023,8,banra,1151913773.0
2023,8,muavao,1717714133.0
2023,9,banra,1279747442.0
2023,9,muavao,1552083000.0
2023,10,banra,1524088730.0
2023,10,muavao,975990702.0
2023,11,banra,1421835474.0
2023,11,muavao,1494263200.0
2023,12,banra,3193876982.0
2023,12,muavao,2366810612.0
2024,1,banra,712019064.0
2024,1,muavao,876700255.0
2024,2,banra,407057981.0
2024,2,muavao,1321381106.0
2024,3,banra,1666644349.0
2024,3,muavao,1865271040.0
2024,4,banra,970772575.0
2024,4,muavao,574581960.0
2024,5,banra,1669824554.0
2024,5,muavao,712699747.0
2024,6,banra,1107909065.0
2024,6,muavao,2665203748.89
2024,7,banra,2815816636.0
2024,7,muavao,1192056327.0
2024,8,banra,1949899571.0
2024,8,muavao,1752344624.0
2024,9,banra,1702965399.0
2024,9,muavao,2267645960.0
2024,10,banra,1507543809.0
2024,10,muavao,1303525511.0
2024,11,banra,1394113638.0
2024,11,muavao,2123573490.0
2024,12,banra,2638224688.0
2024,12,muavao,3682544702.0
2025,1,banra,384948018.0
2025,1,muavao,493438497.0
2025,2,banra,706488897.0
2025,2,muavao,1440998133.0
2025,3,banra,2376411221.0
2025,3,muavao,1335557846.0
2025,4,banra,1305382294.0
2025,4,muavao,846046530.0
2025,5,banra,1848661893.0
2025,5,muavao,1291777028.0
2025,6,banra,3145659054.0
2025,6,muavao,2241110859.0
2025,7,banra,1021639682.0
2025,7,muavao,1283062128.0
2025,8,banra,1393627043.0
2025,8,muavao,1902225600.0
2025,9,banra,2754601177.0
2025,9,muavao,2964283031.0
2025,10,banra,1408558897.0
2025,10,muavao,1266819448.0
2025,11,banra,1470804640.0
2025,11,muavao,1579986407.0
2025,12,banra,2431331064.0
2025,12,muavao,2471766836.0
