Year,Month,Doanh thu (Trước thuế),Giá vốn (Trước thuế)
2023,1,919511396.0,1182657319.0
2023,2,1195768183.0,1779346435.0
2023,3,1549732728.0,1506427079.0
2023,4,978168179.0,761553145.0
2023,5,866282729.0,636156329.0
2023,6,994051814.0,722252696.0
2023,7,1163811820.0,963442785.0
2023,8,1151913773.0,1717714133.0
2023,9,1279747442.0,1552083000.0
2023,10,1524088730.0,975990702.0
2023,11,1421835474.0,1494263200.0
2023,12,3193876982.0,2366810612.0
2024,1,712019064.0,876700255.0
2024,2,407057981.0,1321381106.0
2024,3,1666644349.0,1865271040.0
2024,4,970772575.0,574581960.0
2024,5,1669824554.0,712699747.0
2024,6,1107909065.0,2665203748.89
2024,7,2815816636.0,1192056327.0
2024,8,1949899571.0,1752344624.0
2024,9,1702965399.0,2267645960.0
2024,10,1507543809.0,1303525511.0
2024,11,1394113638.0,2123573490.0
2024,12,2638224688.0,3682544702.0
2025,1,384948018.0,493438497.0
2025,2,706488897.0,1440998133.0
2025,3,2376411221.0,1335557846.0
2025,4,1305382294.0,846046530.0
2025,5,1848661893.0,1291777028.0
2025,6,3145659054.0,2241110859.0
2025,7,1021639682.0,1283062128.0
2025,8,1393627043.0,1902225600.0
2025,9,2754601177.0,2964283031.0
2025,10,1408558897.0,1266819448.0
2025,11,1470804640.0,1579986407.0
2025,12,2431331064.0,2471766836.0
