Ngày,Số HĐ,Diễn giải,TK Đ/Ứ,Nợ,Có
2023-01-02,5,Giá vốn (80%): Phần mềm Kaspersky KL1941MCCFS,632,0,520000.0
2023-01-02,6,Giá vốn (80%): Hộp mực in Ecoplus 12A,632,0,87272.8
2023-01-02,2,Giá vốn (80%): Máy in laser Brother HL-L2321D,632,0,58472727.2
2023-01-02,1,"Giá vốn (80%): Máy tính bàn Lenovo Desktop ThinkCentre M70a Gen 3 -i3-12100 ( 4.3 GHZ) - 8GB RAM - 256GB SSD - 21.5 inch FHD -1Yr, P/n 11VL0000VA",632,0,10829091.2
2023-01-02,3,Giá vốn (80%): Máy in đa chức năng Brother MFCL2701D,632,0,18654545.6
2023-01-02,3,Giá vốn (80%): Máy in laser Brother HL-L2321D,632,0,38981818.4
2023-01-02,4,Giá vốn (80%): Máy đếm tiền Mazsan MS - 5700C,632,0,2185185.6
2023-01-02,2,Giá vốn (80%): MÁY TÍNH ĐỂ BÀN (PC) LENOVO ThinkCentre neo 50s Gen 3 i5- 12400(6*2.5)/8GD4/256GSSD/WL/BT/KB/M/W11/ĐEN( 11T0004UVN),632,0,8218181.6
2023-01-02,2,Giá vốn (80%): MÀN HÌNH VI TÍNH (LCD) LENOVO C22-20 21.5INCH/1920 x 1080/75Hz/VGA/HDMI/ĐEN/3Y(62A7KAR1WW),632,0,43636363.2
2023-01-03,7,Giá vốn (80%): Máy in bill Epson TM-T82 III,632,0,8050908.8
2023-01-03,8,Giá vốn (80%): Bộ máy vi tính,632,0,12109091.2
2023-01-04,12,"Giá vốn (80%): Màn hình LCD Dell P3421W 34""",632,0,10174545.6
2023-01-04,9,Giá vốn (80%): Loa SoundMax A130,632,0,87272.8
2023-01-04,9,Giá vốn (80%): Chuột máy tính  Logitech B100,632,0,50908.8
2023-01-04,9,Giá vốn (80%): Bàn phím Logitech K120,632,0,109091.2
2023-01-04,11,Giá vốn (80%): Chuột vi tính có dây Rapoo N100,632,0,254545.6
2023-01-04,11,Giá vốn (80%): Bàn phím Keyboard NK2500,632,0,560000.0
2023-01-04,11,Giá vốn (80%): Loa SoundMax A710/2.1,632,0,872727.2
2023-01-04,11,Giá vốn (80%): Máy  in Brother HL-L2321D,632,0,1949091.2
2023-01-04,10,Giá vốn (80%): Bộ chuyển đổi mini Displayport sang VGA + HDMI màu trắng Ugreen ( 10427),632,0,305454.4
2023-01-05,15,Giá vốn (80%): Hộp mực  in Ecoplus 12A,632,0,94545.6
2023-01-05,13,Giá vốn (80%): Hộp mực in Izinet 12A,632,0,269091.2
2023-01-05,14,Giá vốn (80%): Hộp mực in Izinet 12A,632,0,509091.2
2023-01-05,14,Giá vốn (80%): Mực Laser TN-2385 Brother,632,0,407272.8
2023-01-06,16,"Giá vốn (80%): Thiết bị thu phát vô tuyến băng tần  2,4/5 Ghz , TPLINK  ARCHER AX23",632,0,981818.4
2023-01-06,16,"Giá vốn (80%): Thiết bị định tuyến TP-Link 450M,2.4GHz,TL-WR940N",632,0,312727.2
2023-01-08,20,Giá vốn (80%): Thẻ nhớ Micro SD+Adaptor Hikvision HS-TF-C1/32GB,632,0,465456.0
2023-01-08,21,Giá vốn (80%): MÁY TÍNH BỘ PC DELL INSPIRON 3910 CORE I5,632,0,12800000.0
2023-01-08,20,Giá vốn (80%): Bàn phím Keyboard NK2500,632,0,872728.0
2023-01-08,20,Giá vốn (80%): Chuột vi tính có dây  Rapoo N100,632,0,800000.0
2023-01-08,20,Giá vốn (80%): Vỏ thùng máy tính  Jetek A30,632,0,1090908.0
2023-01-08,19,Giá vốn (80%): Máy  in Brother DCP-B7535DW,632,0,4058181.6
2023-01-08,18,Giá vốn (80%): Bàn phím  Keyboard NK2500,632,0,203636.0
2023-01-08,17,Giá vốn (80%): Máy  In Canon Laser LBP-2900,632,0,2901818.4
2023-01-08,18,Giá vốn (80%): Dây USB 3.0 nối dài 1.5m Ugreen (30126),632,0,94545.6
2023-01-09,26,"Giá vốn (80%): Thiết bị chuyển mạch TP-Link,TL-SF1024D",632,0,640000.0
2023-01-09,22,"Giá vốn (80%): Ổ cứng  Seagate Expansion 1TB 2.5""",632,0,909091.2
2023-01-09,23,Giá vốn (80%): MÁY TÍNH ĐỂ BÀN HP 280 PRO G9 SFF 72K92PA  -Intel Core i5-12500,632,0,9920000.0
2023-01-09,24,Giá vốn (80%): Hộp mực  in Ecoplus 12A,632,0,189091.2
2023-01-09,25,Giá vốn (80%): Mực  in phun Brother BT5000M,632,0,134545.6
2023-01-09,25,Giá vốn (80%): Mực  in phun Brother BT5000Y,632,0,134545.6
2023-01-09,27,Giá vốn (80%): Máy in phun đa năng Brother DCPT226 (màu trắng),632,0,2756364.0
2023-01-10,29,"Giá vốn (80%): Máy tính bàn Lenovo Desktop ThinkCentre M70a Gen 3 -i3-12100 ( 4.3 GHZ) - 8GB RAM - 256GB SSD - 21.5 inchFHD -1Yr, P/n 11VL0000VA",632,0,10829091.2
2023-01-10,28,Giá vốn (80%): MÀN HÌNH LCD 23.8 Inch LENOVO THINKVISION S24e-20 (62AEKAR2WW),632,0,9454545.6
2023-01-10,28,Giá vốn (80%): MÁY TÍNH ĐỂ BÀN (PC) LENOVO ThinkCentre neo 50sGen 3 i5- 12400(6*2.5)/4GD4/256GSSD/WL/BT/KB/M/NoOS/ĐEN(11T000AXVA),632,0,15127272.8
2023-01-10,32,Giá vốn (80%): Chuột máy tính  Dell MS116,632,0,1090908.8
2023-01-10,32,Giá vốn (80%): Bàn phím Dell Multimedia KB216,632,0,1527272.8
2023-01-10,30,Giá vốn (80%): Máy quét HP Scanjet Pro 3000 S4 Sheet-feed - WTY_6FW07A,632,0,7818181.6
2023-01-10,31,Giá vốn (80%): Máy quét HP Scanjet Pro 3000 S4 Sheet-feed - WTY_6FW07A,632,0,7818181.6
2023-01-10,32,Giá vốn (80%): Bộ nhớ trong Kingston 8GD4-2666,632,0,4800000.0
2023-01-10,32,"Giá vốn (80%): Thanh ram G.Skill F3-1600C11S-8GIS, 8GB",632,0,6181818.4
2023-01-10,32,Giá vốn (80%): ổ cứng gắn trong 240GB SSD Exceria BiCS FLASH 2.5'' SATA3 Kioxia,632,0,5454545.6
2023-01-11,34,"Giá vốn (80%): Ổ cứng gắn trong 240GB SSD EXCERIA BICS FLASH2.5""SATA3 KIOXIA",632,0,690908.8
2023-01-11,34,Giá vốn (80%): Bàn phím Keyboard NK2500,632,0,174545.6
2023-01-11,34,Giá vốn (80%): Chuột máy tính Dell MS116,632,0,116364.0
2023-01-11,33,Giá vốn (80%): Tai nghe Logitech H370,632,0,400000.0
2023-01-11,35,Giá vốn (80%): Loa SoundMax A120/2.0,632,0,152727.2
2023-01-12,39,Giá vốn (80%): Camera quan sát DS-2CE76D0T-ITMFS,632,0,1200000.0
2023-01-12,39,Giá vốn (80%): Camera quan sát CS-CV310(A0-1C2WFR),632,0,3120000.0
2023-01-12,39,Giá vốn (80%): Camera KTS EZVIZ mã CS-C3N,632,0,463200.0
2023-01-12,39,Giá vốn (80%): Camera quan sát DS-2CE56D0T-IT3,632,0,520000.0
2023-01-12,39,Giá vốn (80%): Camera quan sát DS-2CE16D0T-IT5(C),632,0,960000.0
2023-01-12,39,Giá vốn (80%): Bát trên khóa chốt,632,0,560000.0
2023-01-12,39,Giá vốn (80%): Camera quan sát DS-2CE16D0T-IT3,632,0,13104000.0
2023-01-12,39,Giá vốn (80%): Dây cáp mạng Ensoho EN-F5CA24 FTP cat5e,632,0,60000000.0
2023-01-12,39,Giá vốn (80%): Ổ điện  12Port có CB,632,0,1600000.0
